"Year","Coal","Oil","Gas","Cement","Flaring"
2000,9.156638,10.211624,4.727823,0.718165,0.345576
2001,9.208429,10.283571,4.771715,0.750748,0.334076
2002,9.630181,10.269353,4.913652,0.779004,0.323111
2003,10.466566,10.540849,5.096196,0.857435,0.343439
2004,10.813392,10.924574,5.257671,0.895929,0.341454
2005,11.498500,11.030304,5.376289,0.966776,0.346552
2006,12.136238,11.142928,5.531006,1.047294,0.346573
2007,12.724451,11.184312,5.736637,1.126199,0.342250
2008,13.149669,11.143340,5.905500,1.137397,0.333686
2009,13.003172,10.899596,5.765684,1.170606,0.328636
2010,13.918223,11.253695,6.205780,1.251813,0.339741
2011,14.704222,11.310149,6.389330,1.344747,0.356251
2012,14.867802,11.432717,6.523143,1.377354,0.374059
2013,14.953153,11.516626,6.573116,1.441334,0.382017
2014,15.014884,11.561832,6.604975,1.492451,0.383772
2015,14.655016,11.770023,6.728989,1.440665,0.381194
2016,14.322989,11.900264,6.914850,1.476147,0.371508
2017,14.494168,12.085292,7.084615,1.499947,0.384212
2018,14.762694,12.142828,7.419413,1.546849,0.404041
2019,14.702957,12.325908,7.574056,1.615727,0.432392
2020,14.267037,10.932341,7.520820,1.624052,0.400001
2021,14.969249,11.513166,7.878698,1.666885,0.402216
2022,15.449177,11.914912,7.758745,1.578739,0.398871
2023,15.636373,12.278241,7.802845,1.540286,0.411343
2024,15.805254,12.470596,8.009828,1.472817,0.415708
2025,15.901190,12.565362,8.094086,1.480537,0.421142
