"Year","LUC","LUC_upper","LUC_lower"
1959,8.692767,11.257567,6.127967
1960,7.610568,10.175368,5.045768
1961,7.630158,10.194958,5.065358
1962,7.138400,9.703200,4.573600
1963,6.953332,9.518132,4.388532
1964,6.659918,9.224718,4.095118
1965,6.385424,8.950224,3.820624
1966,5.917140,8.481940,3.352340
1967,6.250528,8.815328,3.685728
1968,6.327130,8.891930,3.762330
1969,6.940544,9.505344,4.375744
1970,6.689670,9.254470,4.124870
1971,6.139398,8.704198,3.574598
1972,6.438088,9.002888,3.873288
1973,6.254265,8.819065,3.689465
1974,6.312999,8.877799,3.748199
1975,6.123497,8.688297,3.558697
1976,6.060280,8.625080,3.495480
1977,6.620091,9.184891,4.055291
1978,6.563897,9.128697,3.999097
1979,5.855829,8.420629,3.291029
1980,6.001314,8.566114,3.436514
1981,5.836581,8.401381,3.271781
1982,5.531553,8.096353,2.966753
1983,5.839854,8.404654,3.275054
1984,6.424800,8.989600,3.860000
1985,6.787743,9.352543,4.222943
1986,6.943317,9.508117,4.378517
1987,6.497945,9.062745,3.933145
1988,6.156680,8.721480,3.591880
1989,5.980820,8.545620,3.416020
1990,5.829070,8.393870,3.264270
1991,5.720298,8.285098,3.155498
1992,5.967899,8.532699,3.403099
1993,5.733293,8.298093,3.168493
1994,6.668907,9.233707,4.104107
1995,6.278081,8.842881,3.713281
1996,6.541828,9.106628,3.977028
1997,8.019617,10.584417,5.454817
1998,6.792238,9.357038,4.227438
1999,6.561858,9.126658,3.997058
2000,6.145762,8.710562,3.580962
2001,5.460703,8.025503,2.895903
2002,6.093696,8.658496,3.528896
2003,7.321209,9.886009,4.756409
2004,6.443865,9.008665,3.879065
2005,5.931112,8.495912,3.366312
2006,6.033741,8.598541,3.468941
2007,5.593206,8.158006,3.028406
2008,5.951020,8.515820,3.386220
2009,6.534817,9.099617,3.970017
2010,6.517829,9.082629,3.953029
2011,6.392556,8.957356,3.827756
2012,6.682122,9.246922,4.117322
2013,6.319521,8.884321,3.754721
2014,6.409912,8.974712,3.845112
2015,6.512626,9.077426,3.947826
2016,5.376554,7.941354,2.811754
2017,5.307768,7.872568,2.742968
2018,4.882024,7.446824,2.317224
2019,4.887178,7.451978,2.322378
2020,4.516540,7.081340,1.951740
2021,4.657103,7.221903,2.092303
2022,4.785392,7.350192,2.220592
2023,4.745552,7.310352,2.180752
2024,4.585508,7.150308,2.020708
2025,4.140320,6.705120,1.575520
