"Year","deforestation_tot mean","deforestation_tot min","deforestation_tot max","forest_regrowth_tot mean","forest_regrowth_tot min","forest_regrowth_tot max","wood_harvest mean","wood_harvest min","wood_harvest max","other_transitions mean","other_transitions min","other_transitions max","peat_emissions mean","peat_emissions min","peat_emissions max"
1959,7.969163,6.465091,10.013932,-3.108892,-3.823531,-2.471771,1.316976,0.339433,1.820312,1.628208,1.547307,1.775208,0.887311,0.524392,1.237223
1960,7.132526,6.385216,8.545108,-3.136469,-3.829173,-2.539372,1.350025,0.364824,1.869886,1.534776,1.407709,1.665398,0.729686,0.524392,0.904971
1961,7.063020,6.235945,8.605307,-3.146289,-3.823347,-2.557142,1.408991,0.369221,1.969656,1.444324,1.386897,1.478790,0.860124,0.524392,1.246163
1962,6.903294,6.154348,8.296285,-3.159382,-3.819610,-2.603162,1.439903,0.382705,2.019963,1.366477,1.322044,1.398182,0.588121,0.469578,0.770393
1963,6.775017,5.963160,8.104475,-3.171045,-3.819683,-2.634123,1.460678,0.386955,2.053892,1.239885,1.183325,1.305776,0.648784,0.524392,0.777281
1964,6.581570,5.812533,7.709606,-3.179228,-3.813821,-2.665963,1.488390,0.409708,2.088553,1.131541,1.060032,1.185927,0.637621,0.524392,0.828027
1965,6.409081,5.580675,7.491927,-3.197182,-3.824666,-2.702200,1.517214,0.428102,2.112186,1.062133,1.020974,1.095536,0.594166,0.524392,0.721295
1966,6.130641,5.264765,7.067966,-3.212925,-3.819757,-2.757820,1.540309,0.432499,2.138494,0.962887,0.876136,1.047391,0.496228,0.236401,0.727890
1967,6.215036,5.487646,7.181220,-3.205084,-3.807812,-2.757746,1.554342,0.407767,2.165387,1.090541,1.017126,1.208680,0.595693,0.497132,0.765556
1968,6.274087,5.603685,7.191992,-3.204693,-3.791434,-2.786216,1.581492,0.434807,2.184220,1.062181,0.978141,1.171967,0.614086,0.524392,0.738003
1969,6.893047,6.286361,8.041894,-3.219080,-3.766299,-2.848797,1.595440,0.444773,2.189826,0.957440,0.890022,1.060801,0.713711,0.524392,0.882841
1970,6.702738,5.990274,7.706345,-3.241809,-3.814041,-2.860521,1.607971,0.434660,2.199279,0.826476,0.608993,1.128988,0.794270,0.524392,1.059262
1971,6.370401,5.560486,7.360390,-3.233907,-3.800081,-2.861437,1.620416,0.435100,2.216464,0.809219,0.572390,1.139357,0.573257,0.430044,0.765336
1972,6.622729,5.815831,7.915925,-3.248380,-3.786634,-2.927499,1.625656,0.437335,2.231413,0.821579,0.636510,1.138332,0.616492,0.524392,0.749141
1973,6.516375,5.643916,7.689270,-3.255330,-3.768241,-2.982936,1.631445,0.415095,2.251528,0.778331,0.567041,1.188565,0.583431,0.516990,0.708911
1974,6.476511,5.683084,7.578544,-3.231086,-3.746806,-2.951022,1.646797,0.449426,2.255302,0.739334,0.481047,1.213480,0.681419,0.524392,0.768451
1975,6.410889,5.632814,7.385268,-3.240417,-3.732260,-2.987113,1.624837,0.412933,2.239583,0.755944,0.464156,1.257558,0.572231,0.470018,0.722284
1976,6.308846,5.588516,7.175797,-3.233627,-3.709800,-2.970075,1.650827,0.452211,2.254899,0.694487,0.370394,1.238066,0.639734,0.524392,0.751633
