"Year","Forest land","Cropland","Grassland","Wetlands","Settlements","Other land","HWP","Other"
1990,-4.157448,0,0,0,0,0,,0
1991,-4.157448,0,0,0,0,0,,0
1992,-4.157448,0,0,0,0,0,,0
1993,-4.157448,0,0,0,0,0,,0
1994,-4.157448,0,0,0,0,0,,0
1995,-4.157448,0,0,0,0,0,,0
1996,-4.157448,0,0,0,0,0,,0
1997,-4.157448,0,0,0,0,0,,0
1998,-4.157448,0,0,0,0,0,,0
1999,-4.157448,0,0,0,0,0,,0
2000,-4.146896,0,0,0,0,0,,0
2001,-4.146896,0,0,0,0,0,,0
2002,-4.146896,0,0,0,0.000976,0,,0
2003,-4.146896,0.000857,0,0,0.000976,0,,0
2004,-4.146547,0.001899,0,0,0.000971,0,,0
2005,-4.151568,0.003941,0,0,0.002132,0,,0
2006,-4.157101,0.005841,0,0,0.002132,0,,0
2007,-4.157450,0.005841,-0.000854,0,0.002132,0,,0
2008,-4.156051,0.007920,-0.000670,0,0.002641,0,,0
2009,-4.151905,0.010849,-0.001849,0,0.003612,0,,0
2010,-4.156922,0.010849,-0.001665,0,0.003730,0,,0
2011,-4.156922,0.010849,-0.001665,0,0.003730,0,,0
2012,-4.164746,0.012740,-0.001297,0,0.005210,0,,0
2013,-4.166665,0.017544,-0.001297,0,0.008312,0,,0
2014,-4.168051,0.022552,-0.002151,0,0.008638,0,,0
2015,-4.168051,0.024627,-0.003678,0,0.009146,0,,0
2016,-4.174275,0.033057,-0.005021,0,0.013344,0,,0
2017,-4.176729,0.035802,-0.005691,0,0.016498,0.028820,,0
2018,-4.186950,0.037513,-0.007402,0,0.017470,0.010100,,0
2019,-4.193137,0.041483,-0.008930,0,0.017979,0.004985,,0
2020,-4.197971,0.046987,-0.008746,0,0.017979,0.004985,,0
2021,-4.199357,0.050104,-0.009416,0,0.018950,0.004985,,0
2022,-4.204539,0.054858,-0.009416,0,0.017979,0.004985,,0
