"Year","Total","Fossil CO¿","CH¡","N¿O","F-gas","LULUCF"
1990,-2.061366,0.878928,0.848607,0.367325,0.001222,-4.157448
1991,-2.072546,0.827717,0.877373,0.378589,0.001222,-4.157448
1992,-2.282288,0.766684,0.772311,0.334943,0.001222,-4.157448
1993,-2.330083,0.716139,0.774510,0.335494,0.001222,-4.157448
1994,-1.913307,1.093150,0.799908,0.349862,0.001222,-4.157448
1995,-1.922324,1.063781,0.811055,0.356191,0.004097,-4.157448
1996,-1.822124,1.133796,0.830753,0.363975,0.006800,-4.157448
1997,-1.760165,1.222816,0.810182,0.354918,0.009367,-4.157448
1998,-1.768497,1.244542,0.789158,0.343424,0.011826,-4.157448
1999,-1.706884,1.333986,0.768649,0.333727,0.014202,-4.157448
2000,-1.755793,1.302749,0.750434,0.321556,0.016363,-4.146896
2001,-1.849886,1.230864,0.735556,0.312247,0.018342,-4.146896
2002,-1.838978,1.213506,0.753406,0.319867,0.020163,-4.145920
2003,-1.804735,1.219942,0.770103,0.328430,0.021851,-4.145062
2004,-1.781241,1.217386,0.785222,0.336399,0.023428,-4.143676
2005,-1.912637,1.064327,0.800016,0.343606,0.024910,-4.145495
2006,-1.762922,1.193377,0.815363,0.351154,0.026313,-4.149129
2007,-1.705958,1.228653,0.830538,0.357538,0.027644,-4.150331
2008,-1.748414,1.209556,0.810200,0.349072,0.028920,-4.146160
2009,-1.745190,1.192326,0.817602,0.354028,0.030147,-4.139293
2010,-1.979501,0.958846,0.810722,0.349031,0.045908,-4.144009
2011,-1.922056,1.006589,0.819437,0.349438,0.046488,-4.144009
2012,-1.786870,1.125176,0.829687,0.359202,0.047158,-4.148093
2013,-1.685068,1.216170,0.830576,0.360848,0.049443,-4.142105
2014,-1.668608,1.241175,0.820398,0.357180,0.051651,-4.139012
2015,-1.751075,1.172805,0.812769,0.350341,0.050966,-4.137956
2016,-1.722556,1.274055,0.756132,0.329943,0.050210,-4.132896
2017,-1.822090,1.200741,0.716038,0.312987,0.049444,-4.101300
2018,-1.812068,1.236924,0.717702,0.313051,0.049525,-4.129270
2019,-1.890608,1.229717,0.657679,0.304351,0.055265,-4.137620
2020,-1.916274,1.168501,0.691311,0.305507,0.055173,-4.136766
2021,-1.898038,1.183112,0.687081,0.300969,0.065535,-4.134734
2022,-1.854181,1.232984,0.682307,0.298648,0.068014,-4.136134
