"Year","Cars","Light-duty trucks","Heavy-duty trucks/buses"
1990,0.102394,0.129285,0.047106
1991,0.112049,0.145650,0.052212
1992,0.107359,0.145434,0.051686
1993,0.126883,0.175903,0.057396
1994,0.133676,0.190336,0.065884
1995,0.129607,0.193506,0.067138
1996,0.128187,0.201855,0.070477
1997,0.131311,0.211881,0.077363
1998,0.135014,0.216439,0.083125
1999,0.151886,0.239472,0.092123
2000,0.155579,0.240835,0.102263
2001,0.136962,0.209277,0.089650
2002,0.153556,0.233220,0.072568
2003,0.151026,0.221636,0.093542
2004,0.160792,0.218775,0.094396
2005,0.177855,0.220005,0.100847
2006,0.181604,0.211373,0.103461
2007,0.191691,0.211718,0.106974
2008,0.189853,0.197818,0.099945
2009,0.224492,0.220177,0.107023
2010,0.223851,0.200795,0.101809
2011,0.225633,0.193712,0.097059
2012,0.233163,0.192215,0.103194
2013,0.253202,0.195719,0.109286
2014,0.275917,0.195324,0.108659
2015,0.304079,0.190460,0.104825
2016,0.337492,0.190244,0.105147
2017,0.361571,0.192738,0.104609
2018,0.386479,0.196702,0.110809
2019,0.326503,0.257923,0.133361
2020,0.356515,0.246994,0.134283
2021,0.362743,0.249360,0.126698
2022,0.349748,0.305705,0.158911
