"Year","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026"
1990,38.920000,,36.168772,36.168772,36.168772,36.109131,37.535581,36.448138,36.479263,35.815452,35.784991,35.825806,35.812894,35.807134,35.787206,35.787233,35.771816,35.767734,35.767734,35.737673,35.737673,35.737673,35.737673
1991,,,38.274336,38.274336,38.274336,38.211607,39.264391,38.586316,38.620411,37.906769,37.890557,37.921049,37.908612,37.903599,37.883283,37.883310,37.851589,37.849997,37.849997,37.820377,37.820377,37.820377,37.820377
1992,,,21.488020,21.488020,21.488020,21.412213,22.200616,21.581443,21.611044,21.218107,21.212570,21.224527,21.207887,21.207607,21.187062,21.187078,21.200577,21.201457,21.201457,21.168441,21.168441,21.168441,21.168441
1993,,,16.585493,16.585493,16.585493,16.545013,17.232012,16.670541,16.686699,16.387052,16.356912,16.362613,16.347172,16.352692,16.332141,16.332147,16.348049,16.353746,16.353746,16.319713,16.319713,16.319713,16.319713
1994,,,15.858485,15.858485,15.858485,15.830158,16.447626,16.020071,16.001585,15.799117,15.750475,15.782432,15.765415,15.768561,15.748219,15.748224,15.788266,15.801144,15.801144,15.767042,15.767042,15.767042,15.767042
1995,,,15.158442,15.158442,15.158442,15.129018,15.706494,15.230914,15.269924,15.053535,15.062263,15.040407,15.022544,15.024178,15.004147,15.004149,15.084480,15.091554,15.091554,15.057343,15.057343,15.057343,15.057343
1996,,,15.847468,15.847468,15.847468,15.849719,16.228414,15.922439,15.983738,15.702755,15.712662,15.694152,15.676831,15.678510,15.658820,15.658820,15.757631,15.773444,15.773444,15.739963,15.739963,15.739963,15.739963
1997,,,15.218062,15.218062,15.218062,15.245475,15.539379,15.284162,15.346126,15.104272,15.117534,15.103148,15.086286,15.089478,15.070196,15.070196,15.182208,15.196349,15.196349,15.162846,15.162846,15.162846,15.162846
1998,15.663077,,16.060934,16.060934,16.060934,16.070932,16.337437,16.148709,16.202679,15.923087,15.928124,15.917289,15.901518,15.906848,15.888040,15.888040,16.039700,16.030578,16.030578,15.997053,15.997053,15.997053,15.997053
1999,,,13.385100,13.385100,13.385100,13.568321,13.758300,13.629736,13.683027,13.455671,13.450417,13.439151,13.422151,13.426024,13.407518,13.407518,13.476960,13.482975,13.482975,13.449596,13.449596,13.449596,13.449596
2000,,,12.084844,12.084844,12.084844,12.048995,12.194191,12.016686,12.074016,11.853194,11.833531,11.816901,11.801965,11.806057,11.788024,11.788024,11.873919,11.876400,11.876400,11.843035,11.843035,11.843035,11.843035
2001,13.502775,,12.865356,12.865356,12.862636,12.818464,12.931083,12.752126,12.762211,12.558011,12.555588,12.521330,12.507967,12.514546,12.496126,12.500782,12.621366,12.627073,12.627074,12.593737,12.593737,12.593737,12.593737
2002,,,12.938641,12.938641,12.936199,12.976929,13.085956,12.872690,12.885427,12.676101,12.653587,12.628244,12.614425,12.620549,12.602372,12.602372,12.690006,12.699159,12.699160,12.666029,12.666029,12.666029,12.666029
2003,,12.287130,12.977947,12.977947,12.976363,12.963499,13.059356,12.593476,12.606221,12.661141,12.650602,12.618783,12.605238,12.609898,12.591880,12.591880,12.679867,12.692599,12.692601,12.659431,12.659431,12.659431,12.659431
2004,,,13.597099,13.597099,13.595515,13.597604,13.689066,13.415398,13.429575,13.244239,13.225730,13.198831,13.185493,13.185121,13.167325,13.167443,13.272343,13.287305,13.287306,13.254169,13.254143,13.254143,13.254143
2005,,,,14.314916,14.313801,14.371212,14.463368,14.178615,14.204540,14.017627,13.984614,13.959815,13.946884,14.089112,14.089324,14.091960,14.091076,14.117412,14.117414,13.862650,13.862545,13.862545,13.862545
