"Year","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
1990,36.717000,,32.673699,32.673699,32.673699,32.673699,34.078734,32.990321,33.011934,32.246738,32.155336,32.243003,32.248940,32.239764,32.240749,32.240749,32.242835,32.242835,32.242835,32.240350,32.240350,32.240350
1991,,,34.788796,34.788796,34.788796,34.788796,35.824412,35.146441,35.171016,34.346771,34.263956,34.341789,34.348722,34.340613,34.341269,34.341269,34.329416,34.329416,34.329416,34.326709,34.326709,34.326709
1992,,,19.529282,19.529282,19.529282,19.529282,20.309182,19.689588,19.709892,19.268912,19.225311,19.262132,19.265882,19.261561,19.262006,19.262006,19.291808,19.291808,19.291808,19.290371,19.290371,19.290371
1993,,,15.610647,15.610647,15.610647,15.610647,16.291436,15.729848,15.736770,15.389421,15.355929,15.385478,15.390716,15.391727,15.392055,15.392055,15.421388,15.423772,15.423772,15.423045,15.423045,15.423045
1994,,,14.666488,14.666488,14.666488,14.666488,15.278170,14.851075,14.823250,14.456961,14.386877,14.451348,14.455070,14.454432,14.454724,14.454724,14.509778,14.516929,14.516929,14.515499,14.515499,14.515499
1995,,,13.676986,13.676986,13.676986,13.676986,14.248874,13.773684,13.803360,13.494432,13.477048,13.487573,13.490367,13.488794,13.489108,13.489108,13.589411,13.587028,13.587028,13.585070,13.585070,13.585070
1996,,,14.143068,14.143068,14.143068,14.171986,14.545226,14.239228,14.291199,13.975407,13.973127,13.968248,13.971528,13.970443,13.970822,13.970822,14.087333,14.094550,14.094550,14.092226,14.092226,14.092226
1997,,,13.684910,13.684910,13.684910,13.727802,14.015748,13.760522,13.812520,13.514112,13.511628,13.504687,13.508237,13.508506,13.508979,13.508979,13.637136,13.643534,13.643534,13.641543,13.641543,13.641543
1998,14.465010,,14.404903,14.404903,14.404903,14.427030,14.686977,14.498096,14.542312,14.198386,14.196142,14.189344,14.193794,14.196439,14.197023,14.197023,14.364819,14.348819,14.348819,14.346698,14.346698,14.346698
1999,,,11.840604,11.840604,11.840604,12.032978,12.215956,12.087169,12.130744,11.856100,11.850843,11.844744,11.847930,11.848916,11.849594,11.849594,11.933024,11.933024,11.933024,11.930971,11.930971,11.930971
2000,,,10.543754,10.543754,10.543754,10.526446,10.664172,10.487438,10.536248,10.327608,10.302545,10.296911,10.301039,10.302639,10.303534,10.303534,10.402023,10.398916,10.398916,10.396886,10.396886,10.396886
2001,12.206570,,11.252192,11.252192,11.249472,11.229394,11.334216,11.154934,11.156910,10.953691,10.929533,10.916175,10.921573,10.925915,10.927056,10.931711,11.067300,11.065639,11.065640,11.063463,11.063463,11.063463
