"Year","Living biomass (gains)","Living biomass (losses)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1990,-139.507843,92.803608,-0.038779,-3.259744,-4.812468,
1991,-140.874289,96.171200,-1.868488,-3.374942,-4.804781,
1992,-142.243880,97.392404,-2.073375,-3.490915,-4.802254,
1993,-143.605483,93.922744,-1.222320,-3.577124,-4.799221,
1994,-144.969018,95.213892,-1.431775,-3.677581,-4.795895,
1995,-146.328241,94.885766,-1.252395,-3.785273,-4.790820,
1996,-147.683078,90.141193,-0.136568,-3.823111,-4.788354,
1997,-149.041663,92.365670,-0.624663,-3.859710,-4.785146,
1998,-150.404858,92.674536,-0.645839,-3.877922,-4.784205,
1999,-151.769184,157.137117,-66.305071,-3.886198,-4.784098,
2000,-153.125080,105.882979,2.760942,-3.914942,-4.781311,
2001,-154.260044,95.747552,4.811560,-3.850157,-4.762266,
2002,-155.431178,87.181397,6.192355,-3.777244,-4.745979,
2003,-156.609789,84.027970,6.341456,-3.714662,-4.729783,
2004,-157.812777,85.322534,5.491015,-3.636488,-4.709301,
2005,-158.986465,86.123543,4.802598,-3.549879,-4.683761,
2006,-160.170678,86.108774,4.343628,-3.482526,-4.647113,
2007,-161.259048,86.354255,4.391368,-3.507297,-4.599884,
2008,-160.929623,83.882966,4.584464,-3.538163,-4.549151,
2009,-159.869595,108.986476,-14.888349,-3.536490,-4.443662,
2010,-160.564530,91.218503,3.861769,-3.536755,-4.317687,
2011,-157.960735,88.540153,4.143498,-3.562804,-4.415347,
2012,-157.077308,84.430127,4.754864,-3.590185,-4.508728,
2013,-158.568306,83.247757,3.948761,-3.577045,-4.586055,
2014,-156.129717,87.859736,5.222040,-3.566672,-4.612136,
2015,-154.912033,89.935160,4.350889,-3.555570,-4.637979,
2016,-151.433813,95.894763,1.887111,-3.553536,-4.656040,
2017,-148.330773,103.828792,-4.337019,-3.551622,-4.667459,
2018,-152.341977,110.322111,-9.350473,-3.552435,-4.679882,
2019,-155.688772,113.469952,-15.477268,-3.538431,-4.690218,
2020,-155.611556,114.281972,-19.510898,-3.525189,-4.700238,
2021,-151.784348,122.407404,-23.679283,-3.516704,-4.703500,
2022,-151.778930,121.788108,-24.253752,-3.555693,-4.706903,
2023,-151.783327,120.803272,-24.184720,-3.515808,-4.722735,
2024,-151.788986,120.281004,-24.910504,-3.507623,-4.750418,
