"Year","Sawnwood","Wood panels","Paper & paper products","Roundwood"
1961,0.965800,0.068600,0.455400,2.310600
1962,0.991400,0.065400,0.597600,2.152900
1963,1.412600,0.086000,0.740400,2.131400
1964,1.664800,0.101000,0.998200,2.539700
1965,1.585100,0.102100,1.155600,2.246800
1966,1.617500,0.158450,1.399800,2.333900
1967,1.726800,0.240344,1.464000,2.387500
1968,1.785400,0.330601,1.683800,2.413900
1969,2.098400,0.438679,2.150000,2.960600
1970,1.966800,0.333980,2.288000,2.887300
1971,1.891200,0.386608,2.564400,2.526900
1972,2.069900,0.413322,2.996400,2.663300
1973,2.681000,0.472407,3.300200,2.845000
1974,2.338200,0.512871,3.635800,2.996000
1975,1.602300,0.514893,2.472000,2.473500
1976,2.694400,0.715826,3.514000,2.846200
1977,2.391500,0.634700,3.221800,2.525300
1978,2.321200,0.713300,3.578600,2.266300
1979,3.202900,0.813700,3.952200,2.417300
1980,3.429000,0.856900,4.218800,2.539000
1981,2.601000,0.840500,4.140000,2.023600
1982,2.600300,0.829500,4.167200,1.783600
1983,2.365000,0.689100,4.808600,1.617400
1984,1.926000,0.790000,5.124000,1.497400
1985,1.969000,0.907000,4.864800,1.462000
1986,2.213000,1.117000,5.458400,1.329000
1987,2.481000,1.191000,5.598000,1.242000
1988,2.653000,1.390700,6.774600,1.213000
1989,2.407000,1.424100,7.073000,1.083000
1990,2.317000,1.486400,7.582200,1.350581
1991,2.245000,1.419100,7.572800,1.853381
1992,1.955000,1.261119,8.621560,1.845307
1993,1.841100,0.953100,7.770000,1.333650
1994,2.107000,0.992500,8.964000,2.025600
1995,2.104500,1.106000,8.638000,2.350500
1996,2.213600,1.116600,6.194000,1.576900
1997,2.381000,1.198200,8.378000,1.797600
1998,2.837300,1.393200,11.455220,1.996200
1999,3.166000,1.481800,11.952000,2.175665
2000,3.341059,1.514446,12.261100,2.043152
2001,3.327794,1.558466,11.612716,2.008815
2002,3.301920,1.491029,11.855610,2.019441
2003,3.525530,1.570937,12.089050,2.281159
2004,3.829062,1.630521,12.604462,2.213819
2005,4.023103,1.870357,12.178510,2.393854
2006,3.995214,2.084833,12.433890,2.645661
2007,4.630428,2.067577,12.746330,3.229704
2008,4.030898,2.239102,12.312492,2.393142
2009,3.530198,2.018338,10.640128,1.542880
2010,3.834085,2.382913,11.209640,1.733081
2011,3.398538,2.271125,11.106834,1.512633
2012,2.729305,2.088182,10.516006,1.438825
2013,2.565775,2.025710,10.016346,1.357377
2014,2.502705,2.005391,10.003968,1.722566
2015,2.439698,1.930349,9.866286,1.521197
2016,2.620570,1.979575,9.576168,1.654521
2017,2.719612,2.346532,9.614378,1.429724
2018,2.806477,2.390201,9.457872,1.350775
2019,2.765026,2.458241,9.698904,1.440453
2020,2.714582,2.196484,9.004500,1.125672
2021,3.121801,1.992984,9.484062,1.182857
2022,3.164000,1.736328,9.690190,1.363843
2023,2.720000,1.947987,8.431356,1.250415
