"Year","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
1990,368.076510,368.388770,369.094870,367.271818,367.264381,369.515930,371.747525,370.344038,367.762858,369.150857,371.366620,370.526615,371.280175,370.822032,366.667933,365.312790,367.508413,367.598999,353.013537,353.742264,353.592927,350.326630,351.597718
1991,394.723030,394.703280,395.761910,392.291272,392.315557,394.740833,397.552738,396.414505,392.870543,394.086558,396.651559,395.749534,396.385680,395.982261,391.869690,391.425659,393.548417,393.685882,378.884859,380.429196,379.687749,376.192196,377.516175
1992,388.859982,388.802252,389.763652,387.006238,387.035775,387.315829,391.328258,390.061186,386.091084,386.691769,390.562434,387.890449,388.653745,388.259403,383.603225,382.978034,385.137649,385.149015,371.322002,371.307438,372.186133,368.333677,369.501860
1993,370.270651,369.906291,370.612491,368.314529,368.346158,368.249845,371.703448,370.724885,367.464326,367.294814,367.720054,366.999073,368.280020,368.041750,363.637698,364.126849,366.104448,365.268671,353.283651,354.024532,354.138745,349.866670,351.100895
1994,364.706615,364.214235,365.027305,362.739854,362.803062,362.402665,366.212291,364.620656,361.449924,362.001611,366.484022,365.726379,367.093292,366.816542,360.930162,356.957432,359.136241,359.210761,346.173204,347.399102,346.872481,342.435763,343.585740
1995,370.662344,370.278634,370.873891,368.582071,368.745019,367.934651,371.938301,370.845506,369.640361,369.834221,372.730639,372.016321,373.329760,373.041458,366.543541,363.688146,365.890827,365.575421,352.320077,352.971842,353.011775,348.403963,349.593424
1996,385.908783,385.545673,385.648857,383.643060,383.767390,382.857920,386.195615,385.060129,384.419023,385.217826,387.165871,386.272365,387.338339,387.084283,381.605558,380.424749,382.671971,382.579768,369.608003,368.951194,370.328674,365.676350,366.913713
1997,380.382645,379.624175,379.999923,377.818236,378.034645,376.998981,380.593692,379.384224,378.337722,378.692689,380.652763,379.840869,380.779247,380.411861,374.393262,373.070165,375.274586,375.290306,361.786061,360.846104,362.329347,357.612231,358.832313
1998,402.262136,400.382576,398.908537,397.866643,398.085203,396.743390,400.507635,399.576365,399.031967,399.425405,401.981706,401.070068,401.702770,401.441241,394.849524,392.015750,394.199288,393.992281,380.253925,380.322830,380.622192,375.767127,376.898160
1999,390.715568,388.792268,388.902750,388.728578,388.926739,387.528327,390.721641,389.608695,392.314864,393.181222,394.606686,393.615627,394.037244,393.771550,386.611437,389.027529,391.289790,391.106166,378.195368,379.219849,379.389639,374.834903,375.919842
2000,385.006060,384.565470,382.864538,383.242591,385.331192,384.070185,387.273212,386.478979,387.665321,389.721312,391.279974,390.150723,390.611174,390.339703,384.597193,383.476612,385.612600,385.534744,372.307540,373.604898,373.239233,368.519724,369.864820
2001,389.738073,389.887510,389.163735,387.412160,391.855421,390.813066,393.529031,392.817389,393.306571,393.110738,392.833362,392.121403,392.175120,391.876533,386.336280,389.180069,391.217731,391.102564,379.005919,380.385030,379.759321,375.038216,376.225217
2002,,384.453068,381.659447,382.819556,385.188675,383.362768,385.749398,384.763010,388.408161,385.881356,389.147228,387.611866,387.658478,387.427479,382.997121,384.693948,386.867075,386.595604,374.296568,376.343637,374.923802,369.857810,370.980622
2003,,,387.134894,390.620807,391.510138,390.295644,391.630812,392.194520,392.979735,395.292180,398.313203,396.269836,396.619444,396.162172,390.047767,391.459845,393.685794,393.490859,381.444596,382.300731,382.215160,377.189236,378.252144
2004,,,,394.903444,394.420081,393.541071,395.038338,394.232462,396.170972,397.290942,398.961869,397.143676,396.672053,396.235833,391.372092,391.308366,393.715377,393.439854,381.278744,382.192330,382.070923,377.200300,377.933805
2005,,,,,393.817725,398.018607,398.025789,399.367773,400.090414,402.440975,403.369784,401.049527,401.248682,401.769197,395.222282,395.098553,397.597007,397.133916,384.274582,385.155874,385.052131,379.883929,380.496106
2006,,,,,,387.473550,389.599016,386.574867,387.049275,390.690995,394.789307,392.579896,392.038032,391.717028,384.145910,385.422377,387.475998,387.170251,373.181757,374.092879,373.988501,369.128390,369.708592
2007,,,,,,,379.814063,376.560261,378.246782,379.981816,384.862264,383.241095,382.663493,382.217363,374.671398,375.831155,376.819551,376.198148,362.661807,364.120195,363.757724,358.548392,359.130155
2008,,,,,,,,373.008696,372.272842,374.537960,379.357475,377.803780,377.305301,376.717519,369.518510,371.279399,372.062780,370.199912,359.416732,362.392944,361.154715,355.850263,356.769624
2009,,,,,,,,,357.304223,359.486482,363.733107,362.037211,361.893714,361.661610,355.417115,355.033947,358.960767,358.089234,349.672097,352.321308,352.291512,347.137453,347.890338
2010,,,,,,,,,,367.366582,370.271977,369.258470,370.285774,370.121123,363.525490,364.259085,364.921343,364.191899,354.476537,354.722702,354.733028,349.188761,350.040234
2011,,,,,,,,,,,343.104798,343.999358,344.607410,344.556013,338.325842,339.273656,340.991634,337.975696,332.039835,333.052902,332.507290,327.162626,328.137224
2012,,,,,,,,,,,,349.409019,348.276273,348.549713,340.278113,342.483205,343.533424,341.159719,336.092309,337.219431,336.802241,331.224731,333.121077
2013,,,,,,,,,,,,,349.577072,347.615924,339.760554,342.667245,344.473769,343.123934,335.985461,337.209834,337.128263,331.376567,332.923988
2014,,,,,,,,,,,,,,318.779708,309.998796,312.906609,314.221776,312.095053,305.080655,306.368006,306.363441,299.500875,300.717467
2015,,,,,,,,,,,,,,,315.701315,318.302495,320.772263,317.910062,310.940146,312.681804,312.622359,305.995283,306.897510
2016,,,,,,,,,,,,,,,,320.998372,323.471970,321.055588,315.184271,316.064012,315.720406,308.693963,310.265689
2017,,,,,,,,,,,,,,,,,326.036009,325.541776,316.849138,317.676132,317.184795,310.184533,311.744047
2018,,,,,,,,,,,,,,,,,,311.877237,303.081717,303.392154,303.028864,295.383741,296.858501
2019,,,,,,,,,,,,,,,,,,,297.504240,297.609787,297.137081,289.437959,291.010059
2020,,,,,,,,,,,,,,,,,,,,264.912617,266.007045,258.323717,259.629859
2021,,,,,,,,,,,,,,,,,,,,,286.965612,279.698408,281.733180
2022,,,,,,,,,,,,,,,,,,,,,,270.463141,272.740583
2023,,,,,,,,,,,,,,,,,,,,,,,250.807463
