"Year","France","World"
1950,3.029634,2.378734
1951,3.141634,2.515504
1952,3.248912,2.502896
1953,3.057303,2.524970
1954,3.136680,2.527923
1955,3.183870,2.716614
1956,3.172380,2.835461
1957,3.247883,2.869636
1958,3.274326,2.891376
1959,3.285773,2.985590
1960,3.252303,3.112931
1961,3.106868,3.071906
1962,3.116667,3.120741
1963,2.870421,3.215595
1964,3.148888,3.315825
1965,3.048251,3.391959
1966,2.949527,3.484865
1967,2.813690,3.523155
1968,2.510544,3.640223
1969,2.448088,3.802135
1970,2.306893,4.032588
1971,2.084947,4.112597
1972,1.906019,4.219747
1973,1.689027,4.355556
1974,1.559295,4.253289
1975,1.533981,4.173319
1976,1.500686,4.310191
1977,1.500564,4.352449
1978,1.413764,4.432504
1979,1.377924,4.465701
1980,1.339922,4.364099
1981,1.352720,4.168842
1982,1.258467,4.060496
1983,1.240334,4.023942
1984,1.197621,4.068703
1985,1.128907,4.137420
1986,1.056993,4.122175
1987,1.032992,4.179654
1988,0.885981,4.262697
1989,0.844667,4.241189
1990,0.802597,4.266701
1991,0.781183,4.282473
1992,0.731171,4.090168
1993,0.690441,4.068620
1994,0.638934,4.047994
1995,0.588595,4.083544
1996,0.546662,4.148108
1997,0.456967,4.114970
1998,0.383412,4.044522
1999,0.348699,4.079117
2000,0.262015,4.133621
2001,0.211918,4.107635
2002,0.177389,4.144280
2003,0.167683,4.307030
2004,0.081246,4.399256
2005,0.065444,4.493561
2006,0.068505,4.585831
2007,0.058802,4.661509
2008,0.063678,4.682571
2009,0.058499,4.545518
2010,0.052380,4.744937
2011,0.044115,4.848876
2012,0.039694,4.854014
2013,0.036288,4.837742
2014,0.034086,4.804597
2015,0.037028,4.739116
2016,0.036046,4.682487
2017,0.035143,4.705259
2018,0.035269,4.752195
2019,0.034223,4.747814
2020,0.032271,4.457744
2021,0.031185,4.634748
2022,0.031557,4.678452
2023,0.032722,4.707772
2024,0.033519,4.729075
