"YYYYMM","Coal (MtCO2)","Oil (MtCO2)","Gas (MtCO2)","Cement (MtCO2)"
202110,2.696489,15.949030,6.037942,
202111,2.644801,15.172038,10.256573,
202112,2.883995,15.905036,11.348831,
202201,3.144111,14.606847,12.478151,
202202,2.619800,14.539897,9.281352,
202203,2.931173,15.862756,8.658938,
202204,1.773074,14.100453,6.567201,
202205,1.960697,14.537513,4.163520,
202206,2.021459,14.708807,3.535421,
202207,1.872533,14.998611,3.538951,
202208,1.878630,14.745044,3.216768,
202209,1.714114,16.429239,4.022432,
202210,1.853339,15.076924,4.607729,
202211,1.929156,14.702437,7.112737,
202212,2.500881,14.946399,10.472366,
202301,1.922811,14.329781,9.823947,
202302,1.850610,13.735542,8.729258,
202303,1.562582,15.411373,7.830997,
202304,1.662723,13.334642,5.623261,
202305,1.592923,14.487499,3.336611,
202306,1.443946,15.424835,2.952736,
202307,1.579949,14.779905,2.868802,
202308,1.814528,14.429870,2.647512,
202309,1.587556,14.084581,3.019619,
202310,1.493048,15.108775,4.095293,
202311,1.488384,13.496926,7.415935,
202312,1.543162,13.605191,8.813144,
202401,1.841397,14.246942,10.222717,
202402,1.575536,13.556418,7.171225,
202403,1.636053,13.884430,6.653790,
202404,1.528337,14.574539,4.725029,
202405,1.588158,13.984119,3.236265,
202406,1.378192,13.832401,2.641010,
202407,1.629386,15.614807,2.541392,
202408,1.619539,14.347192,2.169076,
202409,1.586237,14.565832,2.952081,
202410,1.617407,15.222631,4.177510,
202411,1.843672,13.085571,7.261044,
202412,1.625460,13.777335,8.947428,
202501,1.637784,13.912532,9.907734,
202502,1.526008,13.092285,8.228320,
202503,1.429223,14.145146,6.755063,
202504,1.427785,16.246566,3.879448,
202505,,14.886519,2.798945,
202506,,,2.357033,
202507,,,,
202508,,,,
202509,,,,
202510,,,,
202511,,,,
202512,,,,
