"Year","France","World"
1950,4.834303,2.372741
1951,5.420548,2.509281
1952,5.335536,2.496828
1953,5.003072,2.519009
1954,5.236518,2.522133
1955,5.482007,2.710743
1956,6.107918,2.829705
1957,6.258660,2.864250
1958,5.946990,2.886446
1959,5.793792,2.981084
1960,6.495947,3.109071
1961,6.853040,3.068418
1962,7.150757,3.117449
1963,7.185334,3.212604
1964,7.756603,3.313059
1965,7.561541,3.389338
1966,7.828983,3.482441
1967,8.244906,3.521091
1968,8.441014,3.638560
1969,8.870159,3.800910
1970,9.131136,4.031813
1971,9.700215,4.112250
1972,10.017200,4.219880
1973,10.417471,4.358162
1974,10.005192,4.257539
1975,9.213942,4.190445
1976,9.954483,4.342568
1977,9.600654,4.387958
1978,9.965310,4.445411
1979,9.980651,4.491730
1980,9.536045,4.385349
1981,8.524960,4.204303
1982,8.128996,4.095304
1983,7.774988,4.047822
1984,7.533260,4.114002
1985,7.373040,4.177916
1986,7.069463,4.164586
1987,6.988513,4.215461
1988,6.912821,4.303169
1989,7.127098,4.285587
1990,6.979207,4.275440
1991,7.376777,4.288762
1992,7.162978,4.101485
1993,6.795335,4.079975
1994,6.653724,4.061836
1995,6.719044,4.097368
1996,6.979075,4.164388
1997,6.826580,4.131378
1998,7.115292,4.059213
1999,7.060929,4.096031
2000,6.922970,4.148800
2001,6.954961,4.125716
2002,6.837249,4.162733
2003,6.897319,4.327484
2004,6.877229,4.421495
2005,6.871501,4.515645
2006,6.667147,4.611727
2007,6.457107,4.688505
2008,6.304073,4.708763
2009,5.972881,4.572416
2010,6.028662,4.774950
2011,5.645134,4.878259
2012,5.651363,4.887112
2013,5.663564,4.868795
2014,5.139961,4.830362
2015,5.194976,4.767311
2016,5.222745,4.713752
2017,5.255378,4.735624
2018,5.008567,4.780249
2019,4.891560,4.778430
2020,4.350028,4.479880
2021,4.735788,4.676995
2022,4.541497,4.676281
2023,4.207693,4.697341
