"Year","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
1990,395.271891,396.125670,396.927769,395.085083,395.106248,395.597134,398.004983,397.928328,396.046206,397.484615,399.556900,398.769924,400.640130,400.652624,401.973821,400.836759,403.207100,403.307236,400.186174,400.964635,399.166167,396.965951,398.152088
1991,419.931683,420.362486,421.487599,418.037319,418.092533,420.005622,422.983067,423.291714,420.397816,421.674599,423.958443,423.121697,424.858338,425.042921,426.697354,426.460447,428.778921,428.927107,424.882231,426.478614,424.117583,421.616413,422.875045
1992,412.420741,412.689151,413.689135,410.964036,411.022318,410.425014,414.602084,414.771377,411.442010,412.096181,415.616183,413.020514,414.880720,414.955077,416.291202,415.863175,418.208215,418.231024,415.122418,415.157020,414.465478,411.408045,412.524426
1993,392.875323,392.731093,393.482428,391.166274,391.244720,390.700747,394.311226,394.709002,392.131329,392.030510,392.128224,391.484709,393.998750,394.334834,395.619025,396.295823,398.481385,397.655364,396.287215,397.075643,395.700957,392.217280,393.409839
1994,388.587125,388.238008,389.008152,386.690372,386.812582,385.908097,389.886203,389.769161,387.292229,387.902413,392.371074,391.681738,394.290604,394.536962,394.676865,390.903489,393.285936,393.368863,389.918316,391.196097,389.176335,385.567332,386.682821
1995,394.868811,394.769610,395.331488,392.983065,393.177408,391.877036,396.049239,396.425266,395.932985,396.184732,399.130394,398.480584,401.325095,401.571225,400.796381,398.143732,400.545838,400.239115,395.370787,396.061740,394.610713,390.833327,391.991352
1996,408.731714,408.676398,408.723350,406.682530,406.886421,405.438950,408.939525,409.196549,409.227381,410.087009,412.138071,411.302866,413.670157,414.013070,414.566605,413.560354,416.025415,415.941020,411.902611,411.286373,411.161670,407.347790,408.558073
1997,403.076270,402.666896,403.054744,400.833944,401.154809,399.438972,403.190789,403.513288,403.146513,403.538593,405.637318,404.884777,407.366135,407.475112,407.697149,406.548445,408.965515,408.989959,405.047429,404.145466,404.134040,400.261269,401.458794
1998,425.365882,423.859009,422.335113,421.271827,421.615089,419.501493,423.426654,424.212025,424.359026,424.792123,427.412419,426.564527,428.775747,429.051500,428.788034,426.117861,428.542777,428.344355,424.187158,424.294257,423.036809,418.993694,420.110073
1999,412.793364,411.165908,411.212189,411.141334,411.436307,409.351345,412.706609,413.330157,416.733321,417.626449,419.146028,418.193179,420.288552,420.506322,419.732479,422.304350,424.775956,424.600506,422.082342,423.145035,421.812882,418.066411,419.134889
2000,407.199059,406.822718,405.048846,405.647209,407.899678,406.097751,409.466199,410.446783,412.340671,414.421876,416.174317,415.079293,416.963454,417.116545,417.895756,416.961473,419.300894,419.232283,416.850081,418.188986,416.290478,412.428863,413.756955
2001,411.353474,411.543153,410.758201,409.262877,413.873771,412.283773,415.169073,416.061417,417.065837,416.898143,416.935387,416.267010,417.593269,417.864706,418.891661,421.893608,424.112774,424.005851,422.024608,423.443915,421.348585,417.119986,418.290319
2002,,406.043511,403.147071,404.705431,407.405072,405.051649,407.565465,408.122318,412.260869,409.774117,413.513253,412.019703,413.383281,413.569248,415.430451,417.286217,419.613001,419.347505,417.929096,420.017439,417.201998,412.783212,413.888191
2003,,,408.155281,412.090671,413.379175,411.718793,413.160492,415.482151,416.741084,419.094914,422.482107,420.492784,422.261243,422.312884,422.416360,423.956534,426.334448,426.145700,424.006487,424.895687,423.470892,419.028204,420.077415
2004,,,,417.352945,417.507887,415.970663,417.548252,418.553325,420.827493,421.989460,423.995524,422.201901,423.162557,423.168636,424.626239,424.703685,427.388782,427.117576,425.626945,426.570830,425.179004,420.945964,421.665193
2005,,,,,416.610316,420.169109,420.537587,423.392943,424.363686,426.752400,428.047669,425.740652,427.580960,428.557610,428.238062,428.231848,430.988793,430.528278,428.636872,429.561365,428.222044,423.707787,424.304076
2006,,,,,,408.686422,410.948466,409.650884,410.375732,414.079497,418.610705,416.414050,417.529219,417.662679,416.378378,417.760381,420.039636,419.737020,418.929213,419.873213,418.577048,414.087148,414.661940
2007,,,,,,,401.007119,399.870664,401.907527,403.691427,408.803993,407.254458,408.484827,408.508590,407.115372,408.366900,409.653178,409.033413,408.920467,410.400759,408.901496,404.218788,404.797242
2008,,,,,,,,395.257830,394.916690,397.212033,402.268577,400.720311,402.101544,401.878865,400.358200,402.212069,403.279966,401.422870,401.487602,404.514960,402.262886,397.492017,398.405441
2009,,,,,,,,,377.754604,379.174229,383.669311,381.992749,383.856157,383.957624,382.437480,382.118935,386.290822,385.421584,382.594524,385.238039,384.313688,379.701930,380.449223
2010,,,,,,,,,,387.665886,392.062243,391.075519,393.871815,394.235674,392.652226,393.476380,394.447073,393.717819,391.248700,391.533992,390.493651,385.425522,386.268920
2011,,,,,,,,,,,363.834846,364.819415,367.921245,368.183438,367.123871,368.133738,370.060784,367.051083,368.643094,369.674773,368.238754,363.403189,364.368923
2012,,,,,,,,,,,,368.670643,369.513058,370.491154,367.179605,369.432518,370.671684,368.311773,370.713994,371.884042,370.610915,365.444394,367.334210
2013,,,,,,,,,,,,,371.495115,369.985595,366.904125,369.874442,371.868979,370.548991,372.345296,373.645232,372.705769,367.526426,369.065657
2014,,,,,,,,,,,,,,341.152532,337.606249,339.786095,341.304282,339.492916,341.529472,342.923520,341.998781,335.581408,336.791692
2015,,,,,,,,,,,,,,,342.458790,344.389949,346.935626,344.096978,345.684686,347.527792,346.625558,340.460515,341.354917
2016,,,,,,,,,,,,,,,,346.790208,349.247786,347.095625,350.066716,351.094358,349.938185,343.393008,344.958205
2017,,,,,,,,,,,,,,,,,352.284776,352.178984,353.366941,354.045608,352.727322,346.103264,347.655147
2018,,,,,,,,,,,,,,,,,,338.327096,338.989748,339.398537,338.250814,330.925128,332.385120
2019,,,,,,,,,,,,,,,,,,,332.503416,332.962152,331.725372,324.252350,325.864345
2020,,,,,,,,,,,,,,,,,,,,295.136417,296.194914,288.711713,290.016282
2021,,,,,,,,,,,,,,,,,,,,,320.908305,314.018537,316.051925
2022,,,,,,,,,,,,,,,,,,,,,,301.766276,304.016997
2023,,,,,,,,,,,,,,,,,,,,,,,278.907360
