"Year","Forest land","Cropland","Grassland","Wetlands","Settlements","Other land","HWP","Other"
1990,-50.768857,26.641108,-5.152135,0.762211,7.014024,0.294441,-4.668573,0
1991,-52.966683,28.750251,-6.821474,0.649334,7.187642,0.227890,-4.313952,0
1992,-53.294363,27.795604,-6.260784,0.750712,7.131739,0.261474,-3.851138,0
1993,-57.315400,26.656280,-5.567562,0.830730,6.799270,0.279370,-2.583008,0
1994,-57.534288,25.716224,-4.898354,0.889290,6.381792,0.286581,-3.516645,3.766427
1995,-59.173770,23.746564,-4.121362,0.920289,5.851069,0.292442,-3.898731,4.238737
1996,-64.389219,22.327439,-3.543619,0.899001,5.887552,0.297455,-3.298570,3.296358
1997,-63.724348,20.694694,-3.011887,0.905274,5.806302,0.296893,-3.920881,2.596724
1998,-64.924402,19.483040,-2.597984,0.904403,5.849044,0.298847,-4.498511,2.074157
1999,-67.650931,18.003822,-2.321661,0.904647,5.848740,0.296175,-4.623419,1.681190
2000,-52.171883,16.382211,-2.402791,0.910680,5.842247,0.295104,-5.291648,1.383485
2001,-61.089446,13.551459,-3.114293,0.857060,6.455621,0.287461,-4.951675,1.156097
2002,-65.935660,12.258295,-3.506062,0.820708,6.501243,0.282958,-3.724694,0.980935
2003,-70.678028,11.436579,-3.808191,0.782089,6.474812,0.278164,-3.575885,0.844694
2004,-72.048958,12.532551,-4.014159,0.748530,6.483755,0.276186,-4.225616,0.737785
2005,-74.173051,14.305872,-3.998563,0.725891,6.517627,0.273870,-4.849808,0.653070
2006,-76.380968,16.823482,-3.964702,0.715364,6.594404,0.272605,-4.995273,0.585287
2007,-77.912648,19.068003,-0.848234,0.708884,7.128854,0.271600,-5.436308,0.530524
2008,-80.006260,20.887956,-0.758053,0.697389,7.319198,0.268458,-4.099428,0.485933
2009,-72.304310,21.266097,-0.426174,0.854951,7.921427,0.273678,-1.898367,0.449260
2010,-72.084490,20.781024,-0.744798,0.900367,7.937409,0.271548,-3.737658,0.418903
2011,-71.691787,20.228836,-0.761827,0.905271,8.212117,0.269946,-4.056377,0.393567
2012,-75.294990,18.801937,-0.780280,1.001996,8.291385,0.270584,-3.344283,0.372316
2013,-78.400259,17.576105,-1.451437,1.022577,7.799981,0.277067,-2.793501,0.354382
2014,-69.672250,17.050722,-1.432547,1.038231,7.409669,0.281150,-2.527263,0.339133
2015,-67.108550,16.710926,-1.242108,1.058583,7.180557,0.281977,-1.934801,0.326146
2016,-59.858935,14.741083,-0.945212,1.182516,7.209343,0.284957,-1.563561,0.315048
2017,-53.043354,14.132267,0.065850,1.158259,6.828151,0.289530,-1.586320,0.305538
2018,-58.553435,13.315154,-9.742867,1.126791,6.790525,0.292057,-1.470281,0.297338
2019,-62.035318,15.808619,-3.204530,1.219658,6.862311,0.324800,-1.127228,0.290273
2020,-68.087422,14.932618,-3.972652,1.206685,6.806947,0.336904,0.213777,0.284170
2021,-59.347035,15.490765,-2.343471,1.210054,6.884425,0.348820,-2.244998,0.278894
2022,-59.032798,15.166062,-1.819714,1.229188,6.820392,0.358400,-1.717432,0.274305
2023,-61.446597,15.830419,-1.895964,1.223479,6.820054,0.364282,0.166625,0.270354
2024,-62.722158,14.568733,-1.515491,1.228486,6.903073,0.371553,0.374269,0.266903
