"Year","Peru","World"
1950,0.925236,2.378734
1951,0.931967,2.515504
1952,0.956267,2.502896
1953,0.886358,2.524970
1954,0.915508,2.527923
1955,0.875624,2.716614
1956,0.903619,2.835461
1957,0.916110,2.869636
1958,0.884382,2.891376
1959,0.805895,2.985590
1960,0.840506,3.112931
1961,0.823239,3.071906
1962,0.864493,3.120741
1963,0.845990,3.215595
1964,0.956725,3.315825
1965,0.896837,3.391959
1966,0.878260,3.484865
1967,0.947294,3.523155
1968,0.964233,3.640223
1969,0.914530,3.802135
1970,0.876479,4.032588
1971,0.745863,4.112597
1972,0.753283,4.219747
1973,0.791842,4.355556
1974,0.837842,4.253289
1975,0.775182,4.173319
1976,0.804735,4.310191
1977,0.918219,4.352449
1978,1.430956,4.432504
1979,1.744565,4.465701
1980,1.741325,4.364099
1981,1.695610,4.168842
1982,1.671829,4.060496
1983,1.412014,4.023942
1984,1.506469,4.068703
1985,1.486739,4.137420
1986,1.379341,4.122175
1987,1.242087,4.179654
1988,1.068224,4.262697
1989,0.952942,4.241189
1990,0.918514,4.266701
1991,0.798994,4.282473
1992,0.789181,4.090168
1993,0.841264,4.068620
1994,0.829808,4.047994
1995,0.786897,4.083544
1996,0.754911,4.148108
1997,0.716280,4.114970
1998,0.692345,4.044522
1999,0.625319,4.079117
2000,0.572998,4.133621
2001,0.554336,4.107635
2002,0.538647,4.144280
2003,0.520997,4.307030
2004,0.535305,4.399256
2005,0.640443,4.493561
2006,0.680260,4.585831
2007,0.730496,4.661509
2008,0.812976,4.682571
2009,0.946100,4.545518
2010,1.210240,4.744937
2011,1.460759,4.848876
2012,1.474882,4.854014
2013,1.531947,4.837742
2014,1.587264,4.804597
2015,1.448699,4.739116
2016,1.454820,4.682487
2017,1.358285,4.705259
2018,1.329275,4.752195
2019,1.367479,4.747814
2020,1.274483,4.457744
2021,1.202063,4.634748
2022,1.337648,4.678452
2023,1.330622,4.707772
2024,1.352668,4.729075
