"Year","Peru","World"
1950,0.592048,2.378734
1951,0.604632,2.515504
1952,0.639024,2.502896
1953,0.660584,2.524970
1954,0.726651,2.527923
1955,0.694174,2.716614
1956,0.695527,2.835461
1957,0.714988,2.869636
1958,0.767750,2.891376
1959,0.730067,2.985590
1960,0.802489,3.112931
1961,0.824204,3.071906
1962,0.923500,3.120741
1963,0.920832,3.215595
1964,1.072174,3.315825
1965,1.016193,3.391959
1966,1.094185,3.484865
1967,1.095714,3.523155
1968,1.131415,3.640223
1969,1.160898,3.802135
1970,1.315866,4.032588
1971,1.343448,4.112597
1972,1.277114,4.219747
1973,1.352467,4.355556
1974,1.425807,4.253289
1975,1.429979,4.173319
1976,1.425249,4.310191
1977,1.446074,4.352449
1978,1.357025,4.432504
1979,1.312059,4.465701
1980,1.386140,4.364099
1981,1.349909,4.168842
1982,1.293404,4.060496
1983,1.090180,4.023942
1984,1.076024,4.068703
1985,0.990148,4.137420
1986,1.082417,4.122175
1987,1.248337,4.179654
1988,1.188245,4.262697
1989,1.010659,4.241189
1990,0.972111,4.266701
1991,0.923239,4.282473
1992,0.914559,4.090168
1993,1.020115,4.068620
1994,1.012355,4.047994
1995,1.032615,4.083544
1996,0.996208,4.148108
1997,1.097848,4.114970
1998,1.090439,4.044522
1999,1.128918,4.079117
2000,1.078170,4.133621
2001,0.936789,4.107635
2002,0.937831,4.144280
2003,0.903326,4.307030
2004,1.023389,4.399256
2005,1.078998,4.493561
2006,0.999109,4.585831
2007,1.211569,4.661509
2008,1.238635,4.682571
2009,1.364297,4.545518
2010,1.461358,4.744937
2011,1.444399,4.848876
2012,1.540038,4.854014
2013,1.432620,4.837742
2014,1.639936,4.804597
2015,1.615494,4.739116
2016,1.707277,4.682487
2017,1.747071,4.705259
2018,1.756044,4.752195
2019,1.807998,4.747814
2020,1.438453,4.457744
2021,1.808483,4.634748
2022,1.935294,4.678452
2023,1.951944,4.707772
2024,2.052924,4.729075
