"Year","Fossil CO2 (Gt)","Energy (EJ)","GDP-PPP ($m)","Population (people)"
1990,0.021401,0.385261,115839.607770,22014771
1991,0.020758,0.382138,118410.388810,22483775
1992,0.020986,0.372077,117770.369850,22946340
1993,0.023885,0.406634,123945.749890,23413783
1994,0.024177,0.442120,139201.446650,23881493
1995,0.025143,0.479959,149518.215780,24348919
1996,0.024717,0.494775,153703.190390,24811171
1997,0.027747,0.485166,163658.276160,25274147
1998,0.028066,0.500559,163017.492540,25738095
1999,0.029562,0.513479,165454.458390,26186504
2000,0.028678,0.530493,169912.415990,26598331
2001,0.025260,0.525873,170962.291770,26964601
2002,0.025592,0.538477,180285.769830,27288217
2003,0.024914,0.531618,187794.713850,27580490
2004,0.028504,0.566626,197105.957370,27852190
2005,0.030321,0.589427,209494.185700,28101180
2006,0.028299,0.596135,225266.791440,28324491
2007,0.034567,0.649024,244455.890250,28530699
2008,0.035572,0.700719,266766.324050,28719041
2009,0.039424,0.714384,269689.612540,28896811
2010,0.042505,0.811031,292161.389220,29086019
2011,0.042327,0.894802,310647.002440,29304086
2012,0.045509,0.924211,329719.873200,29550366
2013,0.042718,0.945293,349016.788820,29817919
2014,0.049388,0.967785,357330.917980,30115826
2015,0.049204,1.014010,368952.194080,30457600
2016,0.052698,1.076176,383538.050220,30866494
2017,0.054726,1.092925,393198.742570,31324637
2018,0.056014,1.146328,408805.417470,31897584
2019,0.058668,1.175707,417815.385640,32449303
2020,0.047237,1.036374,371233.934300,32838579.000000
2021,0.059962,1.178974,420598.674040,33155882.000000
2022,0.064785,1.217049,433027.704750,33475438.000000
2023,0.066065,1.235880,446070.891970,33845617
2024,0.070247,1.347815,459448.656990,34217848
