"Year","Cars","Light-duty trucks","Heavy-duty trucks/buses"
1990,4.469750,,
1991,3.192243,,
1992,2.262654,,
1993,2.699428,,
1994,2.624743,,
1995,2.732150,,
1996,4.589448,,
1997,6.316034,,
1998,4.896638,,
1999,2.590597,,
2000,2.327802,,
2001,3.696395,,
2002,4.490020,,
2003,4.918077,,
2004,6.278315,,
2005,6.560198,,
2006,7.090531,,
2007,5.505377,,
2008,6.820333,,
2009,6.474944,,
2010,6.506982,,
2011,5.876940,,
2012,5.184410,,
2013,5.728241,,
2014,5.988596,,
2015,5.832522,,
2016,5.986234,,
2017,6.244088,,
2018,6.335177,,
2019,6.846639,,
2020,6.532261,,
2021,7.453054,,
2022,7.967644,,
