"Year","Living biomass (gains)","Living biomass (losses)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1990,-18.776665,16.940252,,-0.075616,-0.198984,
1991,-18.779434,17.156065,,-0.075616,-0.198984,
1992,-18.782203,12.902834,,-0.075616,-0.198984,
1993,-18.784971,12.861883,,-0.075616,-0.198984,
1994,-18.787740,12.251960,,-0.075616,-0.198984,
1995,-18.790508,13.743264,,-0.075616,-0.198984,
1996,-18.793277,14.079141,,-0.075616,-0.094139,
1997,-18.796045,12.473620,,-0.075616,-0.094139,
1998,-18.798814,12.160239,,-0.075616,-0.094139,
1999,-18.801583,11.501911,,-0.075616,-0.094139,
2000,-18.804351,13.376162,,-0.075616,-0.094139,
2001,-18.804688,9.909266,,-0.073407,0.043855,
2002,-18.805025,11.540649,,-0.071198,0.040394,
2003,-18.805361,13.272528,,-0.068990,0.036933,
2004,-18.805698,13.276632,,-0.066781,0.033473,
2005,-18.806035,12.527791,,-0.064572,0.030012,
2006,-18.806372,12.995818,,-0.062363,-0.027517,
2007,-18.807937,10.783426,,-0.061362,-0.028673,
2008,-18.809503,12.322783,,-0.060362,-0.029829,
2009,-18.811069,12.452359,,-0.059361,-0.030985,
2010,-18.812635,12.729712,,-0.058361,-0.032141,
2011,-18.814144,13.070178,,-0.057360,-0.038016,
2012,-18.815653,13.124887,,-0.056360,-0.039094,
2013,-18.818545,13.106855,,-0.055359,-0.040172,
2014,-18.821434,13.114812,,-0.054359,-0.041250,
2015,-18.824321,13.461001,,-0.053359,-0.055323,
2016,-18.827206,13.840780,,-0.052358,-0.056810,
2017,-18.830088,13.784239,,-0.051358,-0.058298,
2018,-18.832968,14.032390,,-0.050357,-0.059785,
2019,-18.835845,13.788456,,-0.049357,-0.061272,
2020,-18.838719,13.850389,,-0.048356,-0.062760,
2021,-18.841592,13.797831,,-0.049565,-0.063728,
2022,-18.945230,14.323729,,-0.050773,-0.064697,
