"Year","Coal","Natural gas","Hydro","Wind","Solar"
2017,-0.783393,0.155543,-1.758966,0,0.001139
2018,-1.323164,0.041279,1.637212,0.101960,-0.000098
2019,0.175627,0.054025,-1.200893,0.747794,0.000506
2020,1.149393,-0.128643,-0.434022,0.077418,-0.000285
2021,-2.782419,0.487815,2.221870,0.108911,0.000255
2022,-0.050031,0.349842,-2.702571,-0.135202,0.002340
2023,0.121265,0.471152,3.794545,0.118603,0.030709
2024,-0.281453,-0.219733,-2.561375,0.267662,0.116115
2025,0.280567,0.578265,-1.889682,0.135588,0.239644
2026,-0.189864,-0.041199,0.120664,0.097682,0.006109
