"Year","Food processing, beverages and tobacco","Residential","All other Manufacturing industries and construction","All others"
1990,0,5.481728,0,0
1991,0,4.750816,0,0
1992,0,3.530016,0,0
1993,0,3.530016,0,0
1994,0,3.449600,0,0
1995,0,3.449600,0,0
1996,0,3.449600,0,0
1997,0,3.449600,0,0
1998,0,3.449600,0,0
1999,0,3.449600,0,0
2000,0,3.763200,0,0
2001,0,3.763200,0,0
2002,0,3.763200,0,0
2003,0,3.763200,0,0
2004,0,3.763200,0,0
2005,0,3.763200,0,0
2006,0,3.757040,0.006160,0
2007,0,3.750880,0.012320,0.001344
2008,0.010752,3.131520,0.093744,0.535328
2009,0.070448,4.663008,0.117264,0.098360
2010,0.190064,4.501840,0.057008,0.066676
2011,0.217952,4.093152,0.408688,0.142788
2012,0.112784,4.425456,0.218288,0.125632
2013,0.311696,3.756032,0.594832,0.248632
2014,0.186032,3.992688,0.409584,0.345368
2015,0.140112,3.972640,0.474096,0.360580
2016,0.211232,4.094272,0.400176,0.279428
2017,0.268531,3.767804,0.579759,0.426824
2018,0.351088,3.943384,0.450448,0.264037
2019,0.467989,4.085035,0.451038,0.237762
2020,0.465236,6.358786,0.425606,0.242315
2021,0.483065,6.696807,0.378190,0.192772
2022,0.396769,6.695339,0.387870,0.231373
