"Year","Serbia","World"
1950,1.317926,2.372741
1951,1.234541,2.509281
1952,1.226572,2.496828
1953,1.203263,2.519009
1954,1.419753,2.522133
1955,1.610842,2.710743
1956,1.826257,2.829705
1957,1.969882,2.864250
1958,1.928867,2.886446
1959,2.196356,2.981084
1960,2.381191,3.109071
1961,2.471674,3.068418
1962,2.510956,3.117449
1963,2.766652,3.212604
1964,3.105105,3.313059
1965,3.165699,3.389338
1966,3.108740,3.482441
1967,3.113240,3.521091
1968,3.303017,3.638560
1969,3.397907,3.800910
1970,4.406437,4.031813
1971,4.715892,4.112250
1972,4.387880,4.219880
1973,5.197417,4.358162
1974,5.175678,4.257539
1975,5.353296,4.190445
1976,5.476347,4.342568
1977,5.278996,4.387958
1978,5.849692,4.445411
1979,6.313227,4.491730
1980,6.164975,4.385349
1981,6.677282,4.204303
1982,6.109481,4.095304
1983,6.558019,4.047822
1984,6.895090,4.114002
1985,7.012121,4.177916
1986,7.303197,4.164586
1987,7.113445,4.215461
1988,7.324466,4.303169
1989,7.288380,4.285587
1990,7.234334,4.275440
1991,5.138783,4.288762
1992,5.499370,4.101485
1993,4.787658,4.079975
1994,4.647471,4.061836
1995,4.903354,4.097368
1996,5.732779,4.164388
1997,6.159985,4.131378
1998,6.497029,4.059213
1999,4.496470,4.096031
2000,5.664785,4.148800
2001,6.227484,4.125716
2002,6.607805,4.162733
2003,7.077502,4.327484
2004,7.651497,4.421495
2005,6.593600,4.515645
2006,7.804996,4.611727
2007,7.676341,4.688505
2008,6.704591,4.708763
2009,5.969679,4.572416
2010,5.970464,4.774950
2011,6.424040,4.878259
2012,5.762369,4.887112
2013,5.890184,4.868795
2014,4.932156,4.830362
2015,5.821848,4.767311
2016,6.011171,4.713752
2017,6.099167,4.735624
2018,5.961991,4.780249
2019,5.982725,4.778430
2020,6.138860,4.479880
2021,5.986759,4.676995
2022,6.026117,4.676281
2023,5.924931,4.697341
