"Year","Saudi Arabia","World"
1950,3.018071,2.378734
1951,0,2.515504
1952,0,2.502896
1953,0.251733,2.524970
1954,0.631652,2.527923
1955,1.040440,2.716614
1956,0.774124,2.835461
1957,0.961498,2.869636
1958,0.881977,2.891376
1959,0.789471,2.985590
1960,1.098119,3.112931
1961,1.412442,3.071906
1962,2.384663,3.120741
1963,2.551653,3.215595
1964,2.495127,3.315825
1965,1.439598,3.391959
1966,2.107751,3.484865
1967,8.072069,3.523155
1968,8.858263,3.640223
1969,10.321854,3.802135
1970,12.702235,4.032588
1971,16.046188,4.112597
1972,17.994442,4.219747
1973,23.147824,4.355556
1974,22.828251,4.253289
1975,18.273571,4.173319
1976,21.102233,4.310191
1977,23.227894,4.352449
1978,21.371882,4.432504
1979,24.194887,4.465701
1980,27.981814,4.364099
1981,27.301852,4.168842
1982,23.133486,4.060496
1983,22.172167,4.023942
1984,20.200584,4.068703
1985,21.147986,4.137420
1986,23.708317,4.122175
1987,20.855451,4.179654
1988,20.999536,4.262697
1989,20.079733,4.241189
1990,17.101436,4.266701
1991,21.910180,4.282473
1992,23.617609,4.090168
1993,24.374392,4.068620
1994,22.839813,4.047994
1995,20.663665,4.083544
1996,19.485087,4.148108
1997,15.801708,4.114970
1998,14.670437,4.044522
1999,15.364222,4.079117
2000,19.139848,4.133621
2001,19.034451,4.107635
2002,19.369786,4.144280
2003,18.695484,4.307030
2004,20.727661,4.399256
2005,20.050421,4.493561
2006,20.736022,4.585831
2007,18.924722,4.661509
2008,20.157715,4.682571
2009,20.810012,4.545518
2010,22.086772,4.744937
2011,20.694214,4.848876
2012,22.382026,4.854014
2013,20.807849,4.837742
2014,20.177479,4.804597
2015,20.835640,4.739116
2016,20.873044,4.682487
2017,20.936849,4.705259
2018,21.478729,4.752195
2019,23.244811,4.747814
2020,21.088713,4.457744
2021,22.196952,4.634748
2022,20.729952,4.678452
2023,20.365439,4.707772
2024,20.379190,4.729075
