"Year","Saudi Arabia","World"
1950,24.915880,2.372741
1951,33.683507,2.509281
1952,35.511274,2.496828
1953,35.219073,2.519009
1954,38.921340,2.522133
1955,38.414126,2.710743
1956,38.344632,2.829705
1957,37.923946,2.864250
1958,37.942439,2.886446
1959,40.239950,2.981084
1960,44.581006,3.109071
1961,48.455758,3.068418
1962,51.893532,3.117449
1963,54.419737,3.212604
1964,56.096091,3.313059
1965,63.246967,3.389338
1966,71.774231,3.482441
1967,74.406007,3.521091
1968,78.125087,3.638560
1969,79.061238,3.800910
1970,89.161943,4.031813
1971,106.449461,4.112250
1972,127.892245,4.219880
1973,153.095682,4.358162
1974,162.319139,4.257539
1975,128.830648,4.190445
1976,148.731853,4.342568
1977,151.605605,4.387958
1978,130.983921,4.445411
1979,143.355162,4.491730
1980,142.998417,4.385349
1981,135.587926,4.204303
1982,87.579071,4.095304
1983,59.509146,4.047822
1984,52.907226,4.114002
1985,40.350167,4.177916
1986,56.293554,4.164586
1987,46.287603,4.215461
1988,56.049746,4.303169
1989,53.408948,4.285587
1990,64.252530,4.275440
1991,76.430534,4.288762
1992,76.230920,4.101485
1993,71.990194,4.079975
1994,70.668384,4.061836
1995,68.596215,4.097368
1996,67.792820,4.164388
1997,65.319969,4.131378
1998,65.577942,4.059213
1999,58.915585,4.096031
2000,61.681499,4.148800
2001,59.127650,4.125716
2002,53.285321,4.162733
2003,60.917037,4.327484
2004,63.892451,4.421495
2005,65.146915,4.515645
2006,61.929526,4.611727
2007,57.477306,4.688505
2008,57.876695,4.708763
2009,50.578018,4.572416
2010,49.981991,4.774950
2011,54.594025,4.878259
2012,56.262046,4.887112
2013,54.155093,4.868795
2014,53.683073,4.830362
2015,54.861292,4.767311
2016,55.702581,4.713752
2017,52.407735,4.735624
2018,52.741869,4.780249
2019,49.905475,4.778430
2020,46.880327,4.479880
2021,46.661563,4.676995
2022,50.779949,4.676281
2023,46.654922,4.697341
