"Year","Afghanistan","Albania","Algeria","Andorra","Angola","Anguilla","Antarctica","Antigua and Barbuda","Argentina","Armenia","Aruba","Australia","Austria","Azerbaijan","Bahamas","Bahrain","Bangladesh","Barbados","Belarus","Belgium","Belize","Benin","Bermuda","Bhutan","Bonaire, Saint Eustatius and Saba","Bosnia and Herzegovina","Botswana","Brazil","British Virgin Islands","Brunei Darussalam","Bulgaria","Burkina Faso","Burundi","Cambodia","Canada","Cape Verde","Cayman Islands","Central African Republic","Chad","Chile","China","Christmas Island","Colombia","Comoros","Congo","Cook Islands","Costa Rica","Côte d'Ivoire","Croatia","Cuba","Curaçao","Cyprus","Czechia","Czechoslovakia","North Korea","Democratic Republic of the Congo","North Vietnam","Denmark","Djibouti","Dominica","Dominican Republic","East & West Pakistan ","Ecuador","Egypt","El Salvador","Equatorial Guinea","Eritrea","Estonia","Ethiopia","Faeroe Islands","Falkland Islands (Malvinas)","Federal Republic of Germany","Micronesia (Federated States of)","Federation of Malaya-Singapore","Fiji","Finland","Democratic Yemen","German Democratic Republic","Panama Canal Zone","Former Yemen","France","French Equatorial Africa","French Guiana","French Indochina","French Polynesia","French West Africa","Gabon","Gambia","Georgia","Germany","Ghana","Gibraltar","Greece","Greenland","Grenada","Guadeloupe","Guatemala","Guinea","Guinea-Bissau","Guyana","Haiti","Honduras","Hong Kong","Hungary","Iceland","India","Indonesia","Iraq","Ireland","Iran","Isle of Man","Israel","Italy","Jamaica","Japan","Japan (excluding the Ruyuku Islands)","Jordan","Kazakhstan","Kenya","Kiribati","Kosovo","Kuwait","Kuwaiti Oil Fires","Kyrgyzstan","Laos","Latvia","Lebanon","Leeward Islands","Lesotho","Liberia","Libya","Liechtenstein","Lithuania","Luxembourg","Macao","North Macedonia","Madagascar","Malawi","Malaysia","Maldives","Mali","Malta","Marshall Islands","Martinique","Mauritania","Mauritius","Mayotte","Mexico","Mongolia","Montenegro","Montserrat","Morocco","Mozambique","Myanmar","Namibia","Nauru","Nepal","Netherlands Antilles","Netherlands Antilles and Aruba","Netherlands","New Caledonia","New Zealand","Nicaragua","Niger","Nigeria","Niue","Norway","State of Palestine","Oman","Pacific Islands (Palau)","Pakistan","Palau","Panama","Papua New Guinea","Paraguay","Peninsular Malaysia","Peru","Philippines","Bolivia","Poland","Portugal","Puerto Rico","Qatar","Cameroon","South Korea","Moldova","South Sudan","South Vietnam","Sudan","Réunion","Federation of Rhodesia and Nyasaland","Romania","Russia","Rwanda","Ruanda-Urundi","Ryukyu Islands","Sabah","Saint Helena","Saint Lucia","Sint Maarten (Dutch part)","Samoa","Sao Tome and Principe","Sarawak","Saudi Arabia","Senegal","Serbia","Seychelles","Sierra Leone","Singapore","Slovakia","Slovenia","Solomon Islands","Somalia","South Africa","Spain","Sri Lanka","Saint Kitts and Nevis","St. Kitts-Nevis-Anguilla","Saint Pierre and Miquelon","Saint Vincent and the Grenadines","United Sudan","Suriname","Eswatini","Sweden","Switzerland","Syria","Taiwan","Tajikistan","Tanganyika","Thailand","Timor-Leste","Togo","Tonga","Trinidad and Tobago","Tunisia","Türkiye","Turkmenistan","Turks and Caicos Islands","Tuvalu","Uganda","Ukraine","United Arab Emirates","United Kingdom","United Korea","Tanzania","USA","Uruguay","USSR","Uzbekistan","Vanuatu","Venezuela","Viet Nam","Wallis and Futuna Islands","Yemen","Socialist Federal Republic of Yugoslavia","Serbia and Montenegro","Zambia","Zanzibar","Zimbabwe","World"
1965,,,5.95,,0.32,,,,1.76,,,0.09,,,,,,,,,,,,,,,,0.17,,103.73,,,,,6.28,,,,,,0.04,,1.64,,0.17,,,,,,,,,,,,,,,,,,0.23,0.59,,,,,,,,,,,,,,,,,,,,,,,6.51,,,,,,,,,,,,,,,,,,,0.02,0.68,22.03,,10.93,,,0.12,,,,,,,,,652.51,,,,,,,,,96.08,,,,,,,,0.01,,,,,,,,,1.19,,,,,,,,,,,,,,,,,0.76,,,,,,,,,,,,0.81,,,,,,504.22,,,,,,,,,1.89,,,,,,,,,,,,62.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.24,,,,,,,,221.53,0.00,,,6.35,,2.97,,,53.54,,,,,,,,,1.32
1966,,,7.51,,0.31,,,,1.84,,,0.11,,,,,,,,,,,,,,,,0.20,,119.11,,,,,6.77,,,,,,0.06,,1.56,,0.14,,,,,,,,,,,,,,,,,,0.19,0.56,,,,,,,,,,,,,,,,,,,,,,,7.34,,,,,,,,,,,,,,,,,,,0.03,0.65,22.58,,11.86,,,0.10,,,,,,,,,625.55,,,,,,,,,116.05,,,,,,,,0.01,,,,,,,,,1.18,,,,,,,,,,,,,,,,,1.14,,,,,,,,,,,,0.79,,,,,,558.59,,,,,,,,,1.92,,,,,,,,,,,,71.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.60,0.48,,,,,,,269.12,0.00,,,6.68,,3.21,,,50.32,,,,,,,,,1.41
1967,,,8.44,,0.26,,,,1.98,,,0.25,,,,,,,,,,,,,,,,0.24,,123.55,,,,,7.28,,,,,,0.05,,1.47,,0.11,,,,,,,,,,,,,,,,,,0.16,0.49,,,,,,,,,,,,,,,,,,,,,,,17.20,,,,,,,,,,,,,,,,,,,0.03,0.68,19.26,,14.07,,,0.09,,,,,,,,,573.18,,,,,,,,,130.46,,,,,,,,0.01,,,,,,,,,1.26,,,,,,,,,,,,,,,,,0.85,,,,12.79,,,,,,,,0.86,,,,,,550.98,,,,,,,,,1.96,,,,,,,,,,,,73.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.09,1.35,,,,,,,272.36,0.00,,,7.04,,3.45,,,51.21,,,,,,,,,1.48
1968,,,9.06,,0.36,,,,2.13,,,0.45,,,,,,,,,,,,,,,,0.26,,139.30,,,,,7.76,,,,,,0.06,,1.31,,0.09,,,,,,,,,,,,,,,,,,0.13,0.73,,,,,,,,,,,,,,,,,,,,,,,22.79,,,,,,,,,,,,,,,,,,,0.03,0.78,22.84,,14.97,,,0.09,,,,,,,,,550.65,,,,,,,,,191.79,,,,,,,,0.05,,,,,,,,,1.31,,,,,,,,,,,,,,,,,0.37,,,,52.90,,,,,,,,0.87,,,,,,514.29,,,,,,,,,1.95,,,,,,,,,,,,77.52,,,,,,,,,,,,,,,,,,,,,,0.50,,,,,,,,27.61,1.88,,,,,,,318.09,0.00,,,7.24,,3.66,,,50.62,,,,,,,,,1.58
1969,,,9.28,,1.17,,,,2.17,,,0.51,,,,,,,,,,,,,,,,0.28,,135.41,,,,,8.33,,,,,,0.08,,1.55,,0.05,,,,,,,,,,,,,,,,,,0.10,1.02,,,,,,,,,,,,,,,,,,,,,,,24.22,,,,,,,,,,,,,,,,,,,0.03,0.81,22.27,,17.25,,,0.08,,,,,,,,,534.26,,,,,,,,,223.39,,,,,,,,0.12,,,,,,,,,1.33,,,,,,,,,,,,,,,,,1.38,,,,69.81,,,,,,,,0.82,,,,,,477.96,,,,,,,,,1.94,,,,,,,,,,,,78.45,,,,,,,,,,,,,,,,,,,,,,1.22,,,,,,,,22.38,2.12,,,,,,,338.20,0.00,,,7.28,,3.85,,,48.82,,,,,,,,,1.67
1970,,,10.22,,2.37,,,,2.85,,,2.22,,,,5.78,,,,,,,,,,,,0.26,,145.78,,,,,14.20,,,,,,0.11,,1.70,,0.04,,,,,,,,,,,,,,,,,,0.10,1.33,,,,,,,,,,,,,,,,,,,,,,,25.58,,,0.30,,,,,,,,,,,,,,,,0.04,1.08,22.06,,19.31,,,0.55,,,,,,,,,537.49,,,,,,,,,235.72,,,,,,,,0.24,,,,,,,,,1.79,,,,,,0.00,,,,,,4.24,,,,,2.71,,,,69.07,,0.10,,,,,,0.86,,0.02,0.31,,,449.09,,,,,,,,,4.09,,,,,,,,,,,,89.16,,,,,,,,,,,,,,,,,,,,,,1.89,,,,,,,,23.31,2.32,,,,,,,362.22,0.40,,,13.15,,5.63,,,50.43,,,,,,,,,2.32
1971,,,7.71,,2.61,,,,3.03,,,3.70,,,,8.12,0.01,,,,,,,,,,,0.27,,133.08,,,,,15.01,,,,,,0.14,,1.66,,0.03,,,,,,,,,,,,,,,,,,0.10,1.19,,,,,,,,,,,,,,,,,,,,,,,26.78,,,0.37,,,,,,,,,,,,,,,,0.04,1.10,23.32,,22.58,,,0.54,,,,,,,,,537.89,,,,,,,,,188.68,,,,,,,,0.90,,,,,,,,,1.73,,,,,,0.00,,,,,,5.79,,,,,3.75,,0.21,,59.55,,0.09,,,,,,0.74,,0.02,0.32,,,468.82,,,,,,,,,4.25,,,,,,,,,,,,106.45,,,,,,,,,,,,,,,,,,,,,,2.27,,,,,,,,21.68,2.23,,,,,,,427.82,0.66,,,13.03,,5.97,,,47.10,,,,,,,,,2.41
1972,,,10.15,,3.12,,,,3.03,,,4.00,,,,9.63,0.01,,,,,,,,,,,0.25,,183.41,,,,,16.93,,,,,,0.16,,1.50,,0.64,,,,,,,,,,,,,0.06,,,,,1.81,0.84,,,,,,,,,,,,,,,,,,,,,,,28.54,,,0.45,,,,,,,,,,,,,,,,0.04,1.29,19.58,,24.49,,,0.56,,,,,,,,,521.07,,,,,,,,,152.16,,,,,,,,1.18,,,,,,,,,1.74,,,,,,0.00,,,,,,7.64,,,,,4.35,,1.16,,55.72,,0.09,,,,,,0.74,,0.46,0.34,,,472.44,,,,,,,,,4.30,,,,,,,,,,,,127.89,,,,,,,,,,,,,,,,,,,,,,2.43,,,,,,,,23.24,2.11,,,,,,,426.69,0.94,,,12.89,,6.25,,,41.95,,,,,,,,,2.50
1973,,,10.43,,3.50,,,,2.95,,,4.94,,,,12.93,0.02,,,,,,,,,,,0.25,,241.29,,,,,18.84,,,,,,0.18,,1.40,,3.85,,,,,,,,,,,,,0.08,,,,,4.70,0.65,,,,,,,,,,,,,,,,,,,,,,,33.69,,,0.50,,,,,,,,,,,,,,,,0.04,1.55,25.92,,27.66,,,0.59,,,,,,,,,451.85,,,,,,,,,145.52,,,,,,,,1.13,,,,,,,,,1.76,,,,,,0.00,,,,,,9.21,,,,,4.80,,1.11,,56.11,,0.10,,,,,,0.78,,0.69,0.34,,,508.27,,,,,,,,,4.41,,,,,,,,,,,,153.10,,,,,,,,,,,,,,,,,,,,,,2.22,,,,,,,,26.13,2.00,,,,,,,481.15,1.02,,,12.58,,6.63,,,42.76,,,,,,,,,2.65
1974,,,9.55,,3.54,,,,2.89,,,4.92,,,,15.12,0.02,,,,,,,,,,,0.26,,230.63,,,,,17.73,,,,,,0.22,,1.26,,4.38,,,,,,,,,,,,,0.05,,,,,3.87,0.56,,,,,,,,,,,,,,,,,,,,,,,44.29,,,0.52,,,,,,,,,,,,,,,,0.04,1.56,24.52,,27.59,,,0.59,,,,,,,,,360.43,,,,,,,,,98.64,,,,,,,,1.00,,,,,,,,,2.05,,,,,,0.01,,,,,,10.82,,,,,5.13,,1.21,,53.62,,0.11,,,,,,0.83,,0.71,0.32,,,420.23,,,,,,,,,4.46,,,,,,,,,,,,162.32,,,,,,,,,,,,,,,,,,,,,,2.50,,,,,,,,28.30,2.08,,,,,,,472.34,1.23,,,11.91,,7.09,,,37.03,,,,,,,,,2.61
