"Year","Afghanistan","Albania","Algeria","Andorra","Angola","Anguilla","Antarctica","Antigua and Barbuda","Argentina","Armenia","Aruba","Australia","Austria","Azerbaijan","Bahamas","Bahrain","Bangladesh","Barbados","Belarus","Belgium","Belize","Benin","Bermuda","Bhutan","Bonaire, Saint Eustatius and Saba","Bosnia and Herzegovina","Botswana","Brazil","British Virgin Islands","Brunei Darussalam","Bulgaria","Burkina Faso","Burundi","Cambodia","Canada","Cape Verde","Cayman Islands","Central African Republic","Chad","Chile","China","Christmas Island","Colombia","Comoros","Congo","Cook Islands","Costa Rica","Côte d'Ivoire","Croatia","Cuba","Curaçao","Cyprus","Czechia","Czechoslovakia","North Korea","Democratic Republic of the Congo","North Vietnam","Denmark","Djibouti","Dominica","Dominican Republic","East & West Pakistan ","Ecuador","Egypt","El Salvador","Equatorial Guinea","Eritrea","Estonia","Ethiopia","Faeroe Islands","Falkland Islands (Malvinas)","Federal Republic of Germany","Micronesia (Federated States of)","Federation of Malaya-Singapore","Fiji","Finland","Democratic Yemen","German Democratic Republic","Panama Canal Zone","Former Yemen","France","French Equatorial Africa","French Guiana","French Indochina","French Polynesia","French West Africa","Gabon","Gambia","Georgia","Germany","Ghana","Gibraltar","Greece","Greenland","Grenada","Guadeloupe","Guatemala","Guinea","Guinea-Bissau","Guyana","Haiti","Honduras","Hong Kong","Hungary","Iceland","India","Indonesia","Iraq","Ireland","Iran","Isle of Man","Israel","Italy","Jamaica","Japan","Japan (excluding the Ruyuku Islands)","Jordan","Kazakhstan","Kenya","Kiribati","Kosovo","Kuwait","Kuwaiti Oil Fires","Kyrgyzstan","Laos","Latvia","Lebanon","Leeward Islands","Lesotho","Liberia","Libya","Liechtenstein","Lithuania","Luxembourg","Macao","North Macedonia","Madagascar","Malawi","Malaysia","Maldives","Mali","Malta","Marshall Islands","Martinique","Mauritania","Mauritius","Mayotte","Mexico","Mongolia","Montenegro","Montserrat","Morocco","Mozambique","Myanmar","Namibia","Nauru","Nepal","Netherlands Antilles","Netherlands Antilles and Aruba","Netherlands","New Caledonia","New Zealand","Nicaragua","Niger","Nigeria","Niue","Norway","State of Palestine","Oman","Pacific Islands (Palau)","Pakistan","Palau","Panama","Papua New Guinea","Paraguay","Peninsular Malaysia","Peru","Philippines","Bolivia","Poland","Portugal","Puerto Rico","Qatar","Cameroon","South Korea","Moldova","South Sudan","South Vietnam","Sudan","Réunion","Federation of Rhodesia and Nyasaland","Romania","Russia","Rwanda","Ruanda-Urundi","Ryukyu Islands","Sabah","Saint Helena","Saint Lucia","Sint Maarten (Dutch part)","Samoa","Sao Tome and Principe","Sarawak","Saudi Arabia","Senegal","Serbia","Seychelles","Sierra Leone","Singapore","Slovakia","Slovenia","Solomon Islands","Somalia","South Africa","Spain","Sri Lanka","Saint Kitts and Nevis","St. Kitts-Nevis-Anguilla","Saint Pierre and Miquelon","Saint Vincent and the Grenadines","United Sudan","Suriname","Eswatini","Sweden","Switzerland","Syria","Taiwan","Tajikistan","Tanganyika","Thailand","Timor-Leste","Togo","Tonga","Trinidad and Tobago","Tunisia","Türkiye","Turkmenistan","Turks and Caicos Islands","Tuvalu","Uganda","Ukraine","United Arab Emirates","United Kingdom","United Korea","Tanzania","USA","Uruguay","USSR","Uzbekistan","Vanuatu","Venezuela","Viet Nam","Wallis and Futuna Islands","Yemen","Socialist Federal Republic of Yugoslavia","Serbia and Montenegro","Zambia","Zanzibar","Zimbabwe","World"
1965,,,73.6,,1.8,,,,38.8,,,1.0,,,,,,,,,,,,,,,,14.2,,11.2,,,,,123.6,,,,,,31.9,,30.0,,0.2,,,,,,,,,,,,,,,,,,1.2,18.3,,,,,,,,,,,,,,,,,,,,,,,3.6,,,,,,,,,,,,,,,,,,,8.5,69.1,182.2,,269.5,,,6.4,,,,,,,,,335.3,,,,,,,,,163.4,,,,,,,,0.1,,,,,,,,,50.9,,,,,,,,,,,,,,,,,38.1,,,,,,,,,,,,9.6,,,,,,32.7,,,,,,,,,36.1,,,,,,,,,,,,312.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.8,,,,,,,,38.5,0.2,,,1204.9,,684.3,,,518.7,,,,,,,,,4416.3
1966,,,94.8,,1.8,,,,41.3,,,1.3,,,,,,,,,,,,,,,,17.4,,13.4,,,,,135.8,,,,,,41.0,,29.4,,0.2,,,,,,,,,,,,,,,,,,1.1,17.6,,,,,,,,,,,,,,,,,,,,,,,4.1,,,,,,,,,,,,,,,,,,,13.1,67.4,193.2,,301.1,,,5.2,,,,,,,,,353.7,,,,,,,,,201.9,,,,,,,,0.1,,,,,,,,,52.1,,,,,,,,,,,,,,,,,58.0,,,,,,,,,,,,9.6,,,,,,40.8,,,,,,,,,36.8,,,,,,,,,,,,369.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.3,2.2,,,,,,,49.1,0.2,,,1280.6,,746.9,,,503.7,,,,,,,,,4795.6
1967,,,108.9,,1.5,,,,45.0,,,2.9,,,,,,,,,,,,,,,,21.8,,14.5,,,,,148.5,,,,,,39.1,,28.4,,0.1,,,,,,,,,,,,,,,,,,0.9,15.7,,,,,,,,,,,,,,,,,,,,,,,9.7,,,,,,,,,,,,,,,,,,,16.0,72.5,170.4,,367.7,,,4.9,,,,,,,,,356.1,,,,,,,,,232.0,,,,,,,,0.1,,,,,,,,,57.7,,,,,,,,,,,,,,,,,44.3,,,,8.0,,,,,,,,10.7,,,,,,45.5,,,,,,,,,37.9,,,,,,,,,,,,398.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.9,6.3,,,,,,,52.1,0.3,,,1364.2,,811.7,,,529.4,,,,,,,,,5144.8
1968,,,119.5,,2.1,,,,49.3,,,5.4,,,,,,,,,,,,,,,,24.0,,17.1,,,,,160.9,,,,,,45.0,,26.1,,0.1,,,,,,,,,,,,,,,,,,0.8,24.2,,,,,,,,,,,,,,,,,,,,,,,13.1,,,,,,,,,,,,,,,,,,,16.5,85.4,209.1,,402.3,,,4.6,,,,,,,,,375.1,,,,,,,,,348.9,,,,,,,,0.5,,,,,,,,,61.7,,,,,,,,,,,,,,,,,19.7,,,,33.7,,,,,,,,11.2,,,,,,47.8,,,,,,,,,38.1,,,,,,,,,,,,434.5,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,26.7,9.0,,,,,,,67.9,0.2,,,1416.8,,871.1,,,540.2,,,,,,,,,5612.8
1969,,,125.2,,6.9,,,,51.0,,,6.3,,,,,,,,,,,,,,,,26.2,,17.3,,,,,175.3,,,,,,61.2,,31.6,,0.1,,,,,,,,,,,,,,,,,,0.6,34.6,,,,,,,,,,,,,,,,,,,,,,,14.2,,,,,,,,,,,,,,,,,,,18.9,91.3,211.1,,476.9,,,4.5,,,,,,,,,397.0,,,,,,,,,416.1,,,,,,,,1.2,,,,,,,,,64.7,,,,,,,,,,,,,,,,,75.0,,,,45.6,,,,,,,,10.9,,,,,,50.0,,,,,,,,,38.2,,,,,,,,,,,,458.5,,,,,,,,,,,,,,,,,,,,,,7.4,,,,,,,,21.9,10.4,,,,,,,85.7,0.2,,,1440.6,,924.9,,,537.6,,,,,,,,,6041.6
1970,,,140.9,,14.3,,,,67.9,,,27.9,,,,1.3,,,,,,,,,,,,24.9,,19.4,,,,,304.3,,,,,,92.1,,35.6,,0.1,,,,,,,,,,,,,,,,,,0.6,46.4,,,,,,,,,,,,,,,,,,,,,,,15.3,,,23.8,,,,,,,,,,,,,,,,20.4,124.0,216.4,,549.5,,,29.1,,,,,,,,,431.5,,,,,,,,,450.0,,,,,,,,2.4,,,,,,,,,90.0,,,,,,0.0,,,,,,55.3,,,,,150.5,,,,46.3,,5.8,,,,,,11.7,,0.1,10.1,,,53.0,,,,,,,,,81.6,,,,,,,,,,,,544.4,,,,,,,,,,,,,,,,,,,,,,11.9,,,,,,,,23.1,11.7,,,,,,,108.0,22.1,,,2634.0,,1365.7,,,572.6,,,,,,,,,8577.5
1971,,,108.8,,16.1,,,,73.3,,,48.1,,,,1.9,0.9,,,,,,,,,,,26.2,,18.5,,,,,328.6,,,,,,118.5,,35.5,,0.0,,,,,,,,,,,,,,,,,,0.6,42.3,,,,,,,,,,,,,,,,,,,,,,,16.3,,,29.3,,,,,,,,,,,,,,,,21.6,129.9,236.8,,661.0,,,29.2,,,,,,,,,461.9,,,,,,,,,369.5,,,,,,,,9.5,,,,,,,,,89.5,,,,,,0.0,,,,,,76.4,,,,,212.9,,0.8,,41.0,,5.2,,,,,,10.2,,0.1,10.4,,,62.4,,,,,,,,,85.7,,,,,,,,,,,,680.9,,,,,,,,,,,,,,,,,,,,,,14.9,,,,,,,,21.7,11.6,,,,,,,147.4,36.6,,,2644.7,,1460.3,,,551.3,,,,,,,,,9091.7
1972,,,146.5,,19.9,,,,74.5,,,53.2,,,,2.3,0.9,,,,,,,,,,,25.8,,26.4,,,,,376.3,,,,,,138.3,,32.9,,0.9,,,,,,,,,,,,,0.3,,,,,11.8,30.3,,,,,,,,,,,,,,,,,,,,,,,17.8,,,35.1,,,,,,,,,,,,,,,,22.2,156.4,205.8,,737.3,,,30.3,,,,,,,,,476.1,,,,,,,,,306.3,,,,,,,,12.8,,,,,,,,,93.2,,,,,,0.0,,,,,,101.8,,,,,253.2,,4.5,,39.5,,5.5,,,,,,10.6,,2.2,11.1,,,70.1,,,,,,,,,87.7,,,,,,,,,,,,860.0,,,,,,,,,,,,,,,,,,,,,,16.5,,,,,,,,23.5,11.2,,,,,,,167.4,52.9,,,2646.5,,1543.1,,,506.0,,,,,,,,,9593.0
1973,,,154.2,,23.0,,,,73.8,,,66.8,,,,3.3,1.2,,,,,,,,,,,26.2,,36.0,,,,,424.0,,,,,,163.0,,31.3,,5.9,,,,,,,,,,,,,0.4,,,,,31.6,24.0,,,,,,,,,,,,,,,,,,,,,,,21.4,,,39.3,,,,,,,,,,,,,,,,21.7,193.8,281.8,,857.1,,,32.2,,,,,,,,,438.5,,,,,,,,,303.3,,,,,,,,12.5,,,,,,,,,97.3,,,,,,0.0,,,,,,123.8,,,,,285.9,,4.4,,40.9,,6.3,,,,,,11.5,,3.4,11.2,,,83.2,,,,,,,,,91.0,,,,,,,,,,,,1085.3,,,,,,,,,,,,,,,,,,,,,,15.6,,,,,,,,26.8,10.9,,,,,,,212.4,57.5,,,2608.2,,1651.6,,,531.3,,,,,,,,,10374.5
1974,,,144.7,,24.1,,,,73.5,,,67.5,,,,4.1,1.3,,,,,,,,,,,27.7,,35.6,,,,,404.4,,,,,,197.7,,29.0,,6.9,,,,,,,,,,,,,0.3,,,,,26.7,21.1,,,,,,,,,,,,,,,,,,,,,,,28.7,,,40.8,,,,,,,,,,,,,,,,22.7,199.1,275.6,,880.1,,,32.1,,,,,,,,,371.4,,,,,,,,,215.0,,,,,,,,11.4,,,,,,,,,116.9,,,,,,0.3,,,,,,146.8,,,,,313.7,,4.8,,40.5,,7.3,,,,,,12.4,,3.6,10.9,,,75.3,,,,,,,,,93.2,,,,,,,,,,,,1214.7,,,,,,,,,,,,,,,,,,,,,,18.1,,,,,,,,29.4,11.7,,,,,,,232.4,69.2,,,2491.7,,1781.4,,,473.8,,,,,,,,,10440.5
