"YYYYMM","Diesel","Flaring"
201501,1.475597,0.146411
201502,2.564961,0.126092
201503,1.083405,0.063386
201504,1.625107,0.114310
201505,1.760533,0.073045
201506,1.719905,0.062503
201507,1.895958,0.060317
201508,1.855331,0.054672
201509,1.570937,0.041221
201510,1.895958,0.089177
201511,1.841788,0.015332
201512,1.625107,0.011725
201601,1.663026,0.045160
201602,1.952837,0.017803
201603,1.584479,0.035623
201604,1.977214,0.154556
201605,2.077429,0.058253
201606,1.782201,0.069044
201607,2.031384,0.045335
201608,1.083405,0.008239
201609,2.058469,0.098970
201610,1.895958,0.032501
201611,2.234522,0.168101
201612,1.937669,0.059963
201701,2.167351,0.060751
201702,0.541702,0.052849
201703,2.749139,0.055457
201704,1.516699,0.082785
201705,1.895958,0.038418
201706,1.151117,0.086283
201707,1.814703,0.056389
201708,1.625107,0.139936
201709,1.533830,0.083111
201710,2.303860,0.046487
201711,0,0.171710
201712,1.935232,0.046215
201801,0.947979,0.072523
201802,0.799011,0.062397
201803,0,0.084671
201804,0,0.084927
201805,0,0.109701
201806,0.094798,0
201807,0,0.038089
201808,0,0.045179
201809,0,0.009014
201810,0.081255,0.102056
201811,0,0.038934
201812,0.379950,0.130170
201901,0,0.012434
201902,0,0.041241
201903,0.070421,0.007757
201904,0,0.001235
201905,0,0.020400
201906,0,0.008768
201907,0.081255,0.020416
201908,0,0.075706
201909,0,0.027508
201910,0,0.118434
201911,0,0.026163
201912,0.002898,0.007716
202001,0,0.016192
202002,0,0.020179
202003,0,0.013128
202004,0,0.009179
202005,0,0.008766
202006,0,0.003761
202007,0,0.019475
202008,0,0.013570
202009,0.112514,0.007311
202010,0,0.068586
202011,0,0.004500
202012,0,0.011140
202101,0,0.006199
202102,0.067713,0.043875
202103,0,0.001004
202104,0,0.058486
202105,0.081255,0.028521
202106,0,0.069310
202107,0,0.090866
202108,0,0.003350
202109,0,0.035005
202110,1.657609,0.040328
202111,1.676569,0.010443
202112,2.207415,0.005994
202201,2.258899,0.008217
202202,1.803869,0.024490
202203,1.901375,0.019861
202204,2.367239,0.025211
202205,1.849914,0.003006
202206,1.541143,0.027771
202207,1.849914,0.028418
202208,1.974505,0.022047
202209,1.787618,0.001960
202210,1.733448,0.023825
202211,1.679277,0.007806
202212,1.948785,0.004504
202301,2.440369,0.006534
202302,2.256190,0.004247
202303,2.749139,0.020072
202304,2.044926,0.009603
202305,1.633233,0.020885
202306,0.067713,0.004273
202307,0,0.031722
202308,0.243766,0.033105
202309,0,0.022247
202310,0.059850,0.023957
202311,0,0.015677
202312,0.001761,0.016444
202401,0,0.018182
202402,0,0.019935
202403,0,0.011363
202404,0,0.015082
202405,0,0.018158
202406,0,0.008411
202407,0.081255,0.001576
202408,0,0.004855
202409,0,0.020566
202410,0,0.004129
202411,0,0.029002
202412,0.029772,0.036729
202501,0.081255,0.019252
202502,0,0.002488
202503,0,0.011526
202504,0,0.004867
202505,0,0.022395
