"Year","Coal","Natural gas","Hydro","Nuclear","Wind","Solar","Oil"
2020,0,16.110000,-9.740000,0,0,0,8.520000
2021,0,31.040000,-8.500000,0,0,0,-3.110000
2022,0,5.650000,1.720000,0,0,0,5.600000
2023,0,14.240000,6.500000,0,0,0,-5.840000
2024,0,-12.750000,-0.850000,0,0,0,18.510000
