"Year","Sri Lanka","World"
1950,0.208271,2.378734
1951,0.194303,2.515504
1952,0.238921,2.502896
1953,0.249691,2.524970
1954,0.211231,2.527923
1955,0.192867,2.716614
1956,0.160960,2.835461
1957,0.257650,2.869636
1958,0.211636,2.891376
1959,0.217930,2.985590
1960,0.233576,3.112931
1961,0.235736,3.071906
1962,0.252449,3.120741
1963,0.243532,3.215595
1964,0.213207,3.315825
1965,0.243295,3.391959
1966,0.237818,3.484865
1967,0.257048,3.523155
1968,0.275908,3.640223
1969,0.359174,3.802135
1970,0.292426,4.032588
1971,0.254179,4.112597
1972,0.275726,4.219747
1973,0.281324,4.355556
1974,0.219036,4.253289
1975,0.212383,4.173319
1976,0.201568,4.310191
1977,0.206101,4.352449
1978,0.238237,4.432504
1979,0.259293,4.465701
1980,0.226281,4.364099
1981,0.263062,4.168842
1982,0.289906,4.060496
1983,0.313618,4.023942
1984,0.247559,4.068703
1985,0.249635,4.137420
1986,0.230295,4.122175
1987,0.250568,4.179654
1988,0.213325,4.262697
1989,0.210450,4.241189
1990,0.232519,4.266701
1991,0.249262,4.282473
1992,0.300837,4.090168
1993,0.288503,4.068620
1994,0.309192,4.047994
1995,0.325498,4.083544
1996,0.383286,4.148108
1997,0.405572,4.114970
1998,0.409837,4.044522
1999,0.442411,4.079117
2000,0.517822,4.133621
2001,0.518240,4.107635
2002,0.544627,4.144280
2003,0.539379,4.307030
2004,0.592816,4.399256
2005,0.577238,4.493561
2006,0.565189,4.585831
2007,0.577949,4.661509
2008,0.564644,4.682571
2009,0.605714,4.545518
2010,0.608110,4.744937
2011,0.689045,4.848876
2012,0.726962,4.854014
2013,0.662167,4.837742
2014,0.792484,4.804597
2015,0.882605,4.739116
2016,1.019553,4.682487
2017,1.003643,4.705259
2018,0.904896,4.752195
2019,0.941770,4.747814
2020,0.904733,4.457744
2021,0.917302,4.634748
2022,0.804773,4.678452
2023,0.834335,4.707772
2024,0.901400,4.729075
