"Year","Coal","Natural gas","Hydro","Nuclear","Wind","Solar","Oil","Other"
2016,0.620000,"NaN",-1.410000,"NaN",-0.230000,"NaN","NaN",2.150000
2017,0.050000,"NaN",-0.430000,"NaN",0.070000,"NaN","NaN",0.820000
2018,-0.330000,"NaN",2.100000,"NaN",-0.130000,"NaN","NaN",-1.310000
2019,0.580000,"NaN",-1.370000,"NaN",-0.180000,0.590000,"NaN",0.850000
2020,0.420000,"NaN",0.140000,"NaN",0.020000,0.040000,"NaN",-0.630000
2021,-0.270000,"NaN",1.710000,"NaN",0.640000,0.270000,"NaN",-1.360000
2022,-0.320000,"NaN",-0.330000,"NaN",-0.030000,0.180000,"NaN",-0.340000
2023,-0.520000,"NaN",-0.710000,"NaN",0.150000,0.150000,"NaN",0.650000
