"YYYYMM","Diesel","Petrol","Plugin hybrid","Battery electric","Others"
201406,1324,17,0,0,8
201412,1192,16,0,0,3
201506,1345,15,0,0,1
201512,1334,9,0,1,2
201606,1638,25,0,0,17
201612,1626,18,0,0,6
201706,1846,8,0,0,18
201712,1592,6,0,0,3
201806,2022,23,0,0,8
201812,1785,37,2,0,21
201906,2313,72,1,0,28
201912,1502,76,0,0,28
202006,1678,65,0,1,27
202012,1562,66,0,4,27
202106,1763,88,0,0,49
202112,1547,53,0,2,34
202206,1607,58,0,10,32
202212,1537,50,0,5,42
202306,1991,70,4,16,32
202312,1737,30,1,22,46
202406,1849,55,1,22,55
202412,1311,18,0,41,92
202506,1395,11,0,35,77
202512,1267,10,0,55,79
202606,1179,6,0,26,58
