"YYYYMM","Diesel","Plugin hybrid","Battery electric","Hydrogen","Others"
201801,1696,0,0,0,9
201802,1513,1,2,0,12
201803,1668,0,3,0,12
201804,1342,0,2,0,4
201805,1413,0,11,0,32
201806,1286,2,0,0,16
201807,1212,0,0,0,18
201808,960,0,4,0,16
201809,1156,0,1,0,9
201810,1335,0,0,0,36
201811,1095,1,4,0,17
201812,716,0,2,0,10
201901,1954,1,4,0,42
201902,1307,1,2,0,29
201903,1469,1,3,1,35
201904,1545,0,2,1,23
201905,1653,0,4,0,22
201906,1856,0,4,1,26
201907,693,1,1,0,4
201908,837,0,0,1,18
201909,973,0,6,0,13
201910,1043,0,0,1,9
201911,811,0,0,0,10
201912,597,0,0,0,22
202001,1475,0,5,0,23
202002,1023,0,5,2,12
202003,1100,1,1,0,33
202004,740,0,0,0,34
202005,543,1,3,0,20
202006,642,0,4,0,9
202007,685,0,2,1,17
202008,643,0,0,0,19
202009,921,0,1,0,35
202010,897,1,0,0,23
202011,736,0,2,0,34
202012,507,0,5,0,28
202101,1282,0,6,0,52
202102,944,0,3,0,55
202103,1137,1,2,2,53
202104,990,0,2,0,56
202105,901,1,4,0,53
202106,998,0,5,0,55
202107,915,2,3,3,29
202108,580,0,6,0,23
202109,781,0,12,1,19
202110,890,0,7,1,19
202111,904,0,5,0,38
202112,587,2,10,1,18
202201,1368,1,4,0,56
202202,905,0,1,0,32
202203,1299,1,7,0,24
202204,1010,0,4,0,25
202205,1035,3,7,1,15
202206,1124,0,9,2,24
202207,934,1,11,1,14
202208,759,0,12,6,4
202209,1068,1,9,0,4
202210,1177,1,10,0,10
202211,1241,0,18,3,3
202212,568,0,9,1,7
202301,1513,3,33,0,6
202302,1200,1,24,0,1
202303,1508,0,31,0,2
202304,1109,2,26,0,2
202305,1176,2,36,0,5
202306,1222,2,35,0,6
202307,1254,1,47,0,5
202308,1851,8,46,2,0
202309,786,0,21,5,0
202310,1057,0,35,0,3
202311,1109,2,39,0,4
202312,736,4,35,0,4
202401,1554,3,48,2,1
202402,1161,2,38,0,3
202403,1285,1,49,0,34
202404,1322,1,68,0,11
202405,1204,2,58,0,5
202406,1219,0,48,6,15
202407,975,3,64,0,41
202408,813,2,33,0,10
202409,1033,1,29,4,3
202410,1377,1,55,1,16
202411,1558,2,38,0,16
202412,3668,2,36,0,73
202501,516,1,40,0,2
202502,475,0,47,0,2
202503,696,3,59,0,5
202504,766,0,64,0,6
202505,700,2,87,0,7
202506,1243,0,66,0,12
202507,638,1,81,0,12
202508,519,0,88,0,6
202509,812,0,101,0,9
202510,840,0,102,0,23
202511,694,1,118,0,3
202512,477,0,129,0,0
202601,1130,1,136,1,17
202602,819,1,82,0,6
202603,1065,2,127,0,2
202604,886,2,123,0,7
202605,785,0,106,0,6
202606,785,0,152.344958,0,6
202607,785,0,115.587105,0,6
202608,785,0,114.520900,0,6
