"YYYYMM","Diesel","Non-plugin hybrid","Battery electric","Others"
199506,2356,0,0,0
199512,2242,0,0,0
199606,2643,0,0,1
199612,2325,0,0,0
199706,2772,0,0,0
199712,2831,0,0,0
199806,2884,0,0,0
199812,2691,0,0,0
199906,2380,0,0,1
199912,2034,0,0,1
200006,2434,0,1,0
200012,2098,0,0,0
200106,2103,0,0,0
200112,1915,0,0,0
200206,2098,0,0,0
200212,2042,0,0,0
200306,2421,0,0,0
200312,2181,0,0,0
200406,2556,0,0,0
200412,2367,0,0,0
200506,2972,0,0,0
200512,3121,0,0,0
200606,2982,0,0,0
200612,2956,0,0,0
200706,3416,0,0,0
200712,3322,0,0,0
200806,3956,0,0,0
200812,2944,0,0,0
200906,2321,0,0,1
200912,1425,0,0,0
201006,1701,0,0,0
201012,1764,0,0,5
201106,2125,0,0,0
201112,2185,0,0,0
201206,2556,0,0,0
201212,2583,0,0,3
201306,2462,0,0,7
201312,2700,0,0,0
201406,2680,0,0,1
201412,2421,0,0,0
201506,2500,1,0,0
201512,2243,0,0,1
201606,2696,3,0,0
201612,2589,2,1,0
201706,2906,2,0,0
201712,2375,1,0,0
201806,2937,1,3,0
201812,2746,1,9,0
201906,3086,0,2,0
201912,3080,0,7,0
202006,2674,0,4,0
202012,2088,0,15,0
202106,2583,0,30,0
202112,2235,0,36,0
202206,2361,0,97,0
202212,2230,0,267,0
202306,2754,1,312,0
202312,2465,0,385,0
202406,2713,1,341,1
202412,2305,0,354,0
202506,2203,1,318,0
202512,1661,0,494,0
202606,1908,0,581,0
202612,501,0,184,0
