"YYYYMM","Diesel","Petrol","Plugin hybrid","Battery electric","Others"
201401,391,10,0,0,0
201402,379,10,0,0,0
201403,425,15,0,0,0
201404,399,9,0,0,0
201405,464,6,0,0,0
201406,399,15,0,0,0
201407,313,13,0,0,0
201408,332,11,0,0,0
201409,375,10,0,0,0
201410,403,8,0,0,1
201411,327,14,0,0,0
201412,355,10,0,0,0
201501,329,6,0,0,0
201502,330,8,0,0,0
201503,422,8,0,0,0
201504,437,11,0,0,0
201505,412,7,0,0,1
201506,453,6,0,0,1
201507,365,12,0,1,0
201508,372,9,0,0,0
201509,376,8,0,0,0
201510,449,7,0,0,3
201511,353,3,0,0,0
201512,393,4,0,0,0
201601,398,3,0,0,1
201602,410,9,0,0,0
201603,440,12,0,0,0
201604,469,10,0,0,0
201605,519,4,0,0,0
201606,488,7,0,0,0
201607,392,8,0,0,1
201608,456,11,0,0,1
201609,462,7,0,0,1
201610,495,6,0,0,0
201611,484,8,0,0,1
201612,431,8,0,0,0
201701,514,6,0,0,0
201702,418,5,0,0,0
201703,544,4,0,0,3
201704,481,3,0,0,2
201705,583,3,0,0,1
201706,568,6,0,0,2
201707,427,6,0,0,0
201708,467,9,0,0,0
201709,502,7,0,0,3
201710,525,7,0,0,4
201711,525,10,0,0,1
201712,481,6,0,0,1
201801,593,11,0,0,4
201802,429,4,0,1,2
201803,508,14,0,0,1
201804,520,10,0,0,2
201805,640,8,0,0,1
201806,585,15,0,0,1
201807,424,7,1,0,1
201808,468,14,0,0,3
201809,516,9,1,0,2
201810,596,19,0,0,5
201811,538,21,0,0,2
201812,475,15,0,0,5
201901,508,13,0,0,0
201902,487,17,0,0,4
201903,523,20,0,0,5
201904,565,28,0,0,2
201905,653,20,0,0,9
201906,805,21,1,0,6
201907,362,19,0,0,1
201908,401,34,0,0,3
201909,466,25,0,0,8
201910,581,24,0,0,4
201911,481,28,0,0,3
201912,377,19,0,0,5
202001,543,23,0,0,9
202002,482,27,0,0,2
202003,526,25,0,0,4
202004,448,20,0,0,4
202005,410,12,0,1,1
202006,401,17,0,0,5
202007,366,23,0,2,1
202008,367,18,0,0,4
202009,468,25,0,0,5
202010,492,32,0,0,2
202011,459,26,0,0,3
202012,463,18,0,2,9
202101,427,20,0,0,10
202102,346,21,0,0,13
202103,516,42,0,0,10
202104,471,20,0,0,11
202105,442,24,0,0,4
202106,458,33,0,0,7
202107,387,27,0,0,8
202108,426,22,0,1,5
202109,409,24,0,0,7
202110,423,14,0,0,3
202111,426,7,0,1,4
202112,382,6,0,0,10
202201,448,20,0,3,4
202202,318,14,0,1,1
202203,384,7,0,3,7
202204,331,17,0,0,6
202205,415,8,0,3,6
202206,408,25,0,1,3
202207,292,10,0,0,2
202208,356,8,0,0,7
202209,403,23,0,1,9
202210,404,13,0,1,6
202211,375,18,0,1,7
202212,360,15,0,2,7
202301,468,21,1,0,2
202302,375,6,0,0,2
202303,429,20,1,2,4
202304,369,18,1,4,6
202305,451,12,1,4,7
202306,480,20,0,7,9
202307,342,5,0,3,5
202308,630,10,0,7,5
202309,301,26,0,7,8
202310,372,12,0,1,6
202311,332,12,0,1,10
202312,302,8,1,4,11
202401,399,9,0,4,3
202402,360,18,0,4,8
202403,388,12,0,2,13
202404,401,17,1,1,9
202405,386,20,0,4,7
202406,378,20,1,7,6
202407,283,20,0,1,4
202408,280,7,0,4,5
202409,285,8,0,5,15
202410,326,10,0,6,15
202411,369,8,0,10,11
202412,242,2,0,16,15
202501,344,6,0,5,20
202502,315,9,0,5,11
202503,317,13,0,10,11
202504,334,14,0,4,15
202505,336,6,0,7,21
202506,354,5,0,8,14
202507,283,5,0,5,17
202508,293,9,0,11,12
202509,313,7,0,9,14
202510,331,7,0,8,18
202511,247,7,1,6,16
202512,327,6,0,21,12
202601,354,4,0,13,16
202602,281,7,0,1,17
202603,366,8,0,3,14
202604,335,4,0,6,13
202605,283,13,0,8,12
202606,360,14,1,12,15
202607,265,11,0,6,14
202608,256,7,3,9,10
