"YYYYMM","Diesel","CNG","Plugin hybrid","Battery electric","Others"
2019,9233,59,6,0,555
2020,6714,81,2,0,565
2021,7675,65,1,2,936
2022,8016,55,0,4,913
2023,9444,24,0,10,936
2024,9133,7,0,27,5
2025,8993,26,0,136,7
2026,6255,6,0,87,28
