"YYYYMM","Diesel","Non-plugin hybrid","Battery electric","Others"
199501,460,0,0,0
199502,315,0,0,0
199503,417,0,0,0
199504,340,0,0,0
199505,399,0,0,0
199506,425,0,0,0
199507,369,0,0,0
199508,332,0,0,0
199509,361,0,0,0
199510,403,0,0,0
199511,390,0,0,0
199512,387,0,0,0
199601,430,0,0,0
199602,379,0,0,0
199603,447,0,0,0
199604,422,0,0,0
199605,504,0,0,0
199606,461,0,0,1
199607,428,0,0,0
199608,344,0,0,0
199609,350,0,0,0
199610,440,0,0,0
199611,422,0,0,0
199612,341,0,0,0
199701,479,0,0,0
199702,332,0,0,0
199703,393,0,0,0
199704,549,0,0,0
199705,531,0,0,0
199706,488,0,0,0
199707,524,0,0,0
199708,398,0,0,0
199709,515,0,0,0
199710,491,0,0,0
199711,456,0,0,0
199712,447,0,0,0
199801,517,0,0,0
199802,424,0,0,0
199803,465,0,0,0
199804,498,0,0,0
199805,462,0,0,0
199806,518,0,0,0
199807,510,0,0,0
199808,410,0,0,0
199809,481,0,0,0
199810,470,0,0,0
199811,444,0,0,0
199812,376,0,0,0
199901,434,0,0,0
199902,373,0,0,0
199903,439,0,0,0
199904,349,0,0,0
199905,334,0,0,0
199906,451,0,0,1
199907,342,0,0,1
199908,283,0,0,0
199909,360,0,0,0
199910,336,0,0,0
199911,373,0,0,0
199912,340,0,0,0
200001,433,0,0,0
200002,343,0,0,0
200003,431,0,0,0
200004,327,0,1,0
200005,458,0,0,0
200006,442,0,0,0
200007,339,0,0,0
200008,333,0,0,0
200009,355,0,0,0
200010,375,0,0,0
200011,364,0,0,0
200012,332,0,0,0
200101,388,0,0,0
200102,300,0,0,0
200103,378,0,0,0
200104,312,0,0,0
200105,342,0,0,0
200106,383,0,0,0
200107,294,0,0,0
200108,308,0,0,0
200109,314,0,0,0
200110,370,0,0,0
200111,360,0,0,0
200112,269,0,0,0
200201,346,0,0,0
200202,325,0,0,0
200203,298,0,0,0
200204,376,0,0,0
200205,375,0,0,0
200206,378,0,0,0
200207,327,0,0,0
200208,340,0,0,0
200209,349,0,0,0
200210,379,0,0,0
200211,373,0,0,0
200212,274,0,0,0
200301,404,0,0,0
200302,353,0,0,0
200303,362,0,0,0
200304,415,0,0,0
200305,454,0,0,0
200306,433,0,0,0
200307,353,0,0,0
200308,296,0,0,0
200309,460,0,0,0
200310,375,0,0,0
200311,324,0,0,0
200312,373,0,0,0
200401,413,0,0,0
200402,366,0,0,0
200403,431,0,0,0
200404,427,0,0,0
200405,418,0,0,0
200406,501,0,0,0
200407,467,0,0,0
200408,354,0,0,0
200409,389,0,0,0
200410,389,0,0,0
200411,379,0,0,0
200412,389,0,0,0
200501,508,0,0,0
200502,354,0,0,0
200503,395,0,0,0
200504,571,0,0,0
200505,530,0,0,0
200506,614,0,0,0
200507,515,0,0,0
200508,407,0,0,0
200509,500,0,0,0
200510,442,0,0,0
200511,548,0,0,0
200512,709,0,0,0
200601,423,0,0,0
200602,417,0,0,0
200603,606,0,0,0
200604,469,0,0,0
200605,512,0,0,0
200606,555,0,0,0
200607,382,0,0,0
200608,382,0,0,0
200609,514,0,0,0
200610,540,0,0,0
200611,555,0,0,0
