"YYYYMM","Diesel","CNG","LNG","Battery electric","Others"
201706,149811,661,2,1,504
201712,137065,529,2,0,1047
201806,190025,510,3,0,535
201812,161527,308,2,0,133
201906,168052,357,0,1,111
201912,102037,507,2,2,143
202006,74413,528,15,2,104
202012,38249,597,0,1,109
202106,86081,1988,0,0,98
202112,83673,5992,0,0,234
202206,130218,8054,0,0,336
202212,126815,2876,20,0,458
202306,162440,2805,82,250,563
202312,140456,2428,162,96,599
202406,153831,3355,205,126,416
202412,128093,2804,144,98,579
202506,144233,3722,220,139,821
202512,133071,3531,387,443,884
202606,144895,4176,115,462,792
