"YYYYMM","Diesel","Non-plugin hybrid","Battery electric","Others"
199503,1192,0,0,0
199506,1164,0,0,0
199509,1062,0,0,0
199512,1180,0,0,0
199603,1256,0,0,0
199606,1387,0,0,1
199609,1122,0,0,0
199612,1203,0,0,0
199703,1204,0,0,0
199706,1568,0,0,0
199709,1437,0,0,0
199712,1394,0,0,0
199803,1406,0,0,0
199806,1478,0,0,0
199809,1401,0,0,0
199812,1290,0,0,0
199903,1246,0,0,0
199906,1134,0,0,1
199909,985,0,0,1
199912,1049,0,0,0
200003,1207,0,0,0
200006,1227,0,1,0
200009,1027,0,0,0
200012,1071,0,0,0
200103,1066,0,0,0
200106,1037,0,0,0
200109,916,0,0,0
200112,999,0,0,0
200203,969,0,0,0
200206,1129,0,0,0
200209,1016,0,0,0
200212,1026,0,0,0
200303,1119,0,0,0
200306,1302,0,0,0
200309,1109,0,0,0
200312,1072,0,0,0
200403,1210,0,0,0
200406,1346,0,0,0
200409,1210,0,0,0
200412,1157,0,0,0
200503,1257,0,0,0
200506,1715,0,0,0
200509,1422,0,0,0
200512,1699,0,0,0
200603,1446,0,0,0
200606,1536,0,0,0
200609,1278,0,0,0
200612,1678,0,0,0
200703,1582,0,0,0
200706,1834,0,0,0
200709,1661,0,0,0
200712,1661,0,0,0
200803,1854,0,0,0
200806,2102,0,0,0
200809,1598,0,0,0
200812,1346,0,0,0
200903,1291,0,0,0
200906,1030,0,0,1
200909,731,0,0,0
200912,694,0,0,0
201003,745,0,0,0
201006,956,0,0,0
201009,803,0,0,1
201012,961,0,0,4
201103,1012,0,0,0
201106,1113,0,0,0
201109,1017,0,0,0
201112,1168,0,0,0
201203,1283,0,0,0
201206,1273,0,0,0
201209,1187,0,0,1
201212,1396,0,0,2
201303,1121,0,0,5
201306,1341,0,0,2
201309,1149,0,0,0
201312,1551,0,0,0
201403,1281,0,0,1
201406,1399,0,0,0
201409,1158,0,0,0
201412,1263,0,0,0
201503,1175,0,0,0
201506,1325,1,0,0
201509,1116,0,0,1
201512,1127,0,0,0
201603,1176,1,0,0
201606,1520,2,0,0
201609,1214,0,1,0
201612,1375,2,0,0
201703,1389,2,0,0
201706,1517,0,0,0
201709,1164,0,0,0
201712,1211,1,0,0
201803,1360,1,2,0
201806,1577,0,1,0
201809,1346,1,6,0
201812,1400,0,3,0
201903,1518,0,2,0
201906,1568,0,0,0
201909,1557,0,2,0
201912,1523,0,5,0
202003,1351,0,3,0
202006,1323,0,1,0
202009,928,0,7,0
202012,1160,0,8,0
202103,1285,0,19,0
202106,1298,0,11,0
202109,1046,0,16,0
202112,1189,0,20,0
202203,1197,0,37,0
202206,1164,0,60,0
202209,1018,0,129,0
202212,1212,0,138,0
202303,1404,0,146,0
202306,1350,1,166,0
202309,1213,0,158,0
202312,1252,0,227,0
202403,1330,1,159,0
202406,1383,0,182,1
202409,1127,0,190,0
202412,1178,0,164,0
202503,1148,1,176,0
202506,1055,0,142,0
202509,846,0,162,0
202512,815,0,332,0
202603,1000,0,309,0
202606,908,0,272,0
202609,501,0,184,0
