"YYYYMM","Diesel","Petrol","Battery electric"
202301,250,1,2
202302,161,1,0
202303,214,2,3
202304,188,6,2
202305,213,6,11
202306,214,0,5
202307,224,2,3
202308,243,6,4
202309,220,1,5
202310,236,0,2
202311,230,6,3
202312,275,2,5
202401,185,0,5
202402,176,2,1
202403,184,1,2
202404,204,3,9
202405,196,0,1
202406,195,5,3
202407,230,1,1
202408,239,10,3
202409,249,3,4
202410,279,0,0
202411,281,4,2
202412,361,5,3
202501,184,5,5
202502,254,2,1
202503,186,1,13
202504,250,2,1
202505,268,1,5
202506,229,5,5
202507,208,2,2
202508,210,10,3
202509,245,2,3
202510,265,1,2
202511,254,1,8
202512,259,0,6
202601,237,0,4
202602,209,0,4
202603,228,0,15
202604,293,0,4
202605,273,0,15
202606,275,0,19
202607,293,0,20
