"YYYYMM","Diesel","Non-plugin hybrid","Plugin hybrid","Gas","Battery electric","Others"
202103,78766,258,111,1191,2557,0
202106,84133,221,91,1148,3624,0
202109,69695,180,35,828,2973,0
202112,72177,222,77,673,4097,0
202203,69428,299,33,665,2780,0
202206,61768,321,21,559,2829,0
202209,61721,190,12,815,4168,0
202212,71148,150,17,981,8597,0
202303,77602,240,7,828,3461,1
202306,74886,192,9,875,5785,1
202309,78297,206,6,776,8896,0
202312,76346,153,12,593,3947,0
202403,84691,233,4,706,4423,0
202406,96598,222,14,607,5361,1
202409,67369,192,24,497,2762,0
202412,79346,148,240,729,4982,0
202503,71357,305,226,635,4710,1
202506,73277,170,656,410,6149,1
202509,71599,307,2067,486,8171,1
202512,70891,340,3246,490,9171,1
202603,62460,228,1850,307,7043,2
202606,68032,288,1968,462,10414,5
202609,22360,129,598,84,3975,0
