"YYYYMM","Diesel","Plugin hybrid","Battery electric","Hydrogen","Others"
201806,10429,3,18,0,100
201812,7909,1,11,0,117
201906,11400,3,19,3,199
201912,6828,1,7,2,92
202006,6962,2,18,2,151
202012,6228,1,12,2,186
202106,8410,5,22,2,347
202112,7013,5,44,6,169
202206,9493,6,33,3,201
202212,7943,3,70,11,56
202306,9712,10,185,0,48
202312,8706,15,224,7,30
202406,9639,10,312,8,85
202412,11446,11,259,8,200
202506,6644,6,366,0,125
202512,6326,2,630,0,102
202606,7866,6,732.054763,2,72
202612,2190,0,242.852931,0,20
