"YYYYMM","Diesel","CNG","LNG","Battery electric","Others"
2017,286876,1190,4,1,1551
2018,351552,818,5,0,668
2019,270089,864,2,3,254
2020,112662,1125,15,3,213
2021,169754,7980,0,0,332
2022,257033,10930,20,0,794
2023,302896,5233,244,346,1162
2024,281924,6159,349,224,995
2025,277304,7253,607,582,1705
2026,144895,4176,115,462,792
