"YYYYMM","Diesel","CNG","LNG","Battery electric","Others"
201703,92259,425,2,1,194
201706,57552,236,0,0,310
201709,60298,252,1,0,696
201712,76767,277,1,0,351
201803,104376,305,1,0,410
201806,85649,205,2,0,125
201809,76172,161,1,0,51
201812,85355,147,1,0,82
201903,96371,196,0,1,74
201906,71681,161,0,0,37
201909,53465,212,0,0,64
201912,48572,295,2,2,79
202003,70628,466,15,2,46
202006,3785,62,0,0,58
202009,9422,84,0,0,73
202012,28827,513,0,1,36
202103,52842,1049,0,0,57
202106,33239,939,0,0,41
202109,38457,2464,0,0,112
202112,45216,3528,0,0,122
202203,63770,4114,0,0,178
202206,66448,3940,0,0,158
202209,57800,1662,0,0,269
202212,69015,1214,20,0,189
202303,86251,1515,36,183,281
202306,76189,1290,46,67,282
202309,65563,974,66,68,314
202312,74893,1454,96,28,285
202403,81620,1690,79,93,220
202406,72211,1665,126,33,196
202409,60076,1328,93,37,250
202412,68017,1476,51,61,329
202503,76281,1892,98,70,320
202506,67952,1830,122,69,501
202509,56699,1495,220,138,542
202512,76372,2036,167,305,342
202603,95976,2701,71,298,544
202606,48919,1475,44,164,248
