"YYYYMM","Diesel","CNG","LNG","Battery electric","Others"
201701,18388,107,0,0,55
201702,23792,124,0,0,42
201703,50079,194,2,1,97
201704,27029,96,0,0,74
201705,14740,72,0,0,51
201706,15783,68,0,0,185
201707,18524,68,0,0,314
201708,17975,62,0,0,205
201709,23799,122,1,0,177
201710,24241,84,1,0,177
201711,27161,91,0,0,106
201712,25365,102,0,0,68
201801,35709,145,0,0,321
201802,32953,80,0,0,68
201803,35714,80,1,0,21
201804,33625,70,0,0,36
201805,28332,71,1,0,15
201806,23692,64,1,0,74
201807,24268,61,0,0,23
201808,24293,60,1,0,15
201809,27611,40,0,0,13
201810,32975,57,1,0,11
201811,27661,45,0,0,28
201812,24719,45,0,0,43
201901,29592,51,0,0,17
201902,30418,66,0,0,39
201903,36361,79,0,1,18
201904,28198,65,0,0,18
201905,24297,50,0,0,11
201906,19186,46,0,0,8
201907,19897,62,0,0,25
201908,17548,76,0,0,17
201909,16020,74,0,0,22
201910,16423,105,0,0,33
201911,17085,107,1,0,16
201912,15064,83,1,2,30
202001,18569,127,0,2,12
202002,22722,162,11,0,18
202003,29337,177,4,0,16
202004,3264,62,0,0,6
202005,93,0,0,0,12
202006,428,0,0,0,40
202007,1349,0,0,0,54
202008,2714,16,0,0,11
202009,5359,68,0,0,8
202010,7575,138,0,0,25
202011,9094,188,0,0,9
202012,12158,187,0,1,2
202101,15325,298,0,0,6
202102,17410,360,0,0,12
202103,20107,391,0,0,39
202104,16594,445,0,0,11
202105,6542,114,0,0,17
202106,10103,380,0,0,13
202107,11381,626,0,0,31
202108,12434,839,0,0,23
202109,14642,999,0,0,58
202110,15529,1154,0,0,32
202111,14533,1203,0,0,39
202112,15154,1171,0,0,51
202201,19789,1284,0,0,62
202202,19651,1206,0,0,59
202203,24330,1624,0,0,57
202204,25968,1878,0,0,41
202205,21077,1215,0,0,76
202206,19403,847,0,0,41
202207,17937,575,0,0,98
202208,18894,592,0,0,80
202209,20969,495,0,0,91
202210,22750,410,0,0,43
202211,24806,422,10,0,84
202212,21459,382,10,0,62
202301,26729,601,0,0,92
202302,27011,428,13,0,78
202303,32511,486,23,183,111
202304,30850,506,11,58,54
202305,24501,456,22,7,115
202306,20838,328,13,2,113
202307,20068,268,4,13,73
202308,21499,359,54,12,147
202309,23996,347,8,43,94
202310,27820,490,40,2,157
202311,25184,517,49,15,55
202312,21889,447,7,11,73
202401,27568,584,0,21,70
202402,26646,520,38,28,74
202403,27406,586,41,44,76
202404,29619,585,42,0,57
202405,23460,605,45,30,69
202406,19132,475,39,3,70
202407,21251,463,16,4,67
202408,18898,407,29,22,82
202409,19927,458,48,11,101
202410,25851,490,40,15,148
202411,22079,526,0,15,111
202412,20087,460,11,31,70
202501,26657,682,19,22,140
202502,23794,576,27,11,38
202503,25830,634,52,37,142
202504,28254,772,39,21,81
202505,21296,559,30,36,165
202506,18402,499,53,12,255
202507,19879,561,66,17,131
202508,18342,493,82,73,171
202509,18478,441,72,48,240
202510,24899,637,74,131,113
202511,26422,643,66,100,130
202512,25051,756,27,74,99
202601,31685,994,57,125,121
202602,31999,930,14,122,167
202603,32292,777,0,51,256
202604,30956,852,15,77,148
202605,17963,623,29,87,100
