"YYYYMM","Diesel","Hybrid","Battery electric","Others"
201306,5077,0,0,317
201312,5378,0,0,347
201406,1948,0,0,165
201412,4337,0,0,130
201506,2954,0,0,105
201512,4801,0,0,118
201606,3709,0,0,38
201612,5739,0,0,35
201706,7411,0,0,28
201712,8132,0,0,18
201806,8543,0,0,13
201812,8625,0,0,13
201906,9531,0,1,37
201912,11419,0,0,25
202006,7076,1,0,14
202012,11153,0,0,18
202106,8961,0,1,19
202112,10369,0,16,76
202206,6894,0,0,97
202212,14801,0,5,24
202306,11957,0,0,10
202312,10133,0,2,14
202406,8281,0,5,8
202412,6705,0,6,14
202506,5367,0,8,15
202512,5448,0,57,14
202606,6049,0,32,14
202612,2302,0,14,16
