"YYYYMM","Diesel","Hybrid","Battery electric","Others"
201303,2374,0,0,185
201306,2703,0,0,132
201309,3474,0,0,161
201312,1904,0,0,186
201403,1142,0,0,128
201406,806,0,0,37
201409,1957,0,0,64
201412,2380,0,0,66
201503,1396,0,0,58
201506,1558,0,0,47
201509,2035,0,0,63
201512,2766,0,0,55
201603,2007,0,0,21
201606,1702,0,0,17
201609,2647,0,0,16
201612,3092,0,0,19
201703,3217,0,0,14
201706,4194,0,0,14
201709,4129,0,0,10
201712,4003,0,0,8
201803,3833,0,0,9
201806,4710,0,0,4
201809,4181,0,0,4
201812,4444,0,0,9
201903,4407,0,0,5
201906,5124,0,1,32
201909,5545,0,0,19
201912,5874,0,0,6
202003,3876,1,0,4
202006,3200,0,0,10
202009,5819,0,0,8
202012,5334,0,0,10
202103,4391,0,0,11
202106,4570,0,1,8
202109,5060,0,13,15
202112,5309,0,3,61
202203,2742,0,0,72
202206,4152,0,0,25
202209,7497,0,5,13
202212,7304,0,0,11
202303,6330,0,0,4
202306,5627,0,0,6
202309,5193,0,0,4
202312,4940,0,2,10
202403,4386,0,1,4
202406,3895,0,4,4
202409,3390,0,2,9
202412,3315,0,4,5
202503,2861,0,4,5
202506,2506,0,4,10
202509,2552,0,14,8
202512,2896,0,43,6
202603,2591,0,9,9
202606,3458,0,23,5
202609,2302,0,14,16
