"YYYYMM","Diesel","Plugin hybrid","Battery electric","Hydrogen","Others"
201803,5607,1,5,0,37
201806,4822,2,13,0,63
201809,3963,0,5,0,48
201812,3946,1,6,0,69
201903,5540,3,9,1,114
201906,5860,0,10,2,85
201909,3439,1,7,1,46
201912,3389,0,0,1,46
202003,4361,1,11,2,79
202006,2601,1,7,0,72
202009,3122,0,5,2,84
202012,3106,1,7,0,102
202103,4420,3,11,2,173
202106,3990,2,11,0,174
202109,3328,2,21,4,81
202112,3685,3,23,2,88
202203,4978,2,12,0,125
202206,4515,4,21,3,76
202209,3801,2,32,7,30
202212,4142,1,38,4,26
202303,5287,4,88,0,22
202306,4425,6,97,0,26
202309,4827,9,114,7,9
202312,3879,6,110,0,21
202403,4973,7,137,2,46
202406,4666,3,175,6,39
202409,3693,6,127,7,71
202412,7753,5,132,1,129
202503,2736,4,146,0,37
202506,3908,2,220,0,88
202509,3103,1,274,0,42
202512,3223,1,356,0,60
202603,4385,4,349,2,43
202606,3481,2,383.054763,0,29
202609,2190,0,242.852931,0,20
