"YYYYMM","Diesel","Plugin hybrid","Battery electric","Hydrogen","Others"
201801,1937,0,0,0,9
201802,1735,1,2,0,15
201803,1935,0,3,0,13
201804,1599,0,2,0,7
201805,1689,0,11,0,37
201806,1534,2,0,0,19
201807,1440,0,0,0,19
201808,1162,0,4,0,18
201809,1361,0,1,0,11
201810,1606,0,0,0,39
201811,1395,1,4,0,19
201812,945,0,2,0,11
201901,2219,1,4,0,43
201902,1579,1,2,0,30
201903,1742,1,3,1,41
201904,1818,0,2,1,28
201905,1932,0,4,0,29
201906,2110,0,4,1,28
201907,1058,1,1,0,10
201908,1097,0,0,1,20
201909,1284,0,6,0,16
201910,1391,0,0,1,9
201911,1116,0,0,0,14
201912,882,0,0,0,23
202001,1737,0,5,0,25
202002,1275,0,5,2,17
202003,1349,1,1,0,37
202004,828,0,0,0,35
202005,849,1,3,0,23
202006,924,0,4,0,14
202007,979,0,3,2,24
202008,894,0,0,0,22
202009,1249,0,2,0,38
202010,1280,1,0,0,28
202011,1029,0,2,0,40
202012,797,0,5,0,34
202101,1627,1,6,0,54
202102,1268,0,3,0,58
202103,1525,2,2,2,61
202104,1327,1,2,0,59
202105,1226,1,4,0,58
202106,1437,0,5,0,57
202107,1317,2,3,3,37
202108,869,0,6,0,24
202109,1142,0,12,1,20
202110,1306,0,8,1,25
202111,1298,0,5,0,39
202112,1081,3,10,1,24
202201,1812,1,4,0,60
202202,1385,0,1,0,36
202203,1781,1,7,0,29
202204,1467,0,4,0,30
202205,1537,4,8,1,18
202206,1511,0,9,2,28
202207,1287,1,11,1,16
202208,1117,0,12,6,6
202209,1397,1,9,0,8
202210,1597,1,11,0,14
202211,1645,0,18,3,5
202212,900,0,9,1,7
202301,1826,3,33,0,10
202302,1566,1,24,0,5
202303,1895,0,31,0,7
202304,1375,2,26,0,6
202305,1510,2,36,0,10
202306,1540,2,35,0,10
202307,1552,1,47,0,6
202308,2161,8,46,2,2
202309,1114,0,21,5,1
202310,1401,0,35,0,7
202311,1478,2,40,0,8
202312,1000,4,35,0,6
202401,1937,3,48,2,4
202402,1450,3,38,0,5
202403,1586,1,51,0,37
202404,1603,1,68,0,15
202405,1533,2,59,0,6
202406,1530,0,48,6,18
202407,1272,3,65,0,48
202408,1060,2,33,0,14
202409,1361,1,29,7,9
202410,1779,1,56,1,22
202411,1986,2,38,0,22
202412,3988,2,38,0,85
202501,842,1,40,0,4
202502,852,0,47,0,10
202503,1042,3,59,0,23
202504,1163,0,65,0,22
202505,1105,2,88,0,28
202506,1640,0,67,0,38
202507,1046,1,83,0,20
202508,816,0,88,0,12
202509,1241,0,103,0,10
202510,1260,0,102,0,27
202511,1078,1,123,0,19
202512,885,0,131,0,14
202601,1599,1,138,1,25
202602,1222,1,84,0,9
202603,1564,2,127,1,9
202604,1291,2,123,0,9
202605,1095,0,109,0,10
202606,1095,0,151.054763,0,10
202607,1095,0,123.663980,0,10
202608,1095,0,119.188951,0,10
