"YYYYMM","Diesel","Hybrid","LNG","Battery electric","Hydrogen"
201901,,,4500,,
201902,,,5800,,
201903,,,12300,,
201904,,,11000,,
201905,,,13000,,
201906,,,39100,,
201907,,,3000,,
201908,,,1200,,
201909,,,2000,,
201910,,,5500,,
201911,,,9800,,
201912,,,8800,,
202001,,,5600,,0
202002,,,900,,1
202003,,,19700,,9
202004,,,23500,,0
202005,,,15900,,0
202006,,,13700,,0
202007,,,12300,,2
202008,,,14900,,0
202009,,,10800,,1
202010,,,10800,,3
202011,,,9800,,1
202012,,,5200,,2
202101,,,3400,,0
202102,,,5500,,3
202103,,,14400,,74
202104,,,8200,,89
202105,,,7200,,45
202106,,,5700,,17
202107,,,3900,,111
202108,,,2400,,37
202109,,,1900,,17
202110,,,1600,,27
202111,,,2200,,146
202112,,,1700,,194
202201,,,2501,,14
202202,29181,,2819,,11
202203,49639,,3861,,72
202204,33235,,2665,,14
202205,40478,,3697,,27
202206,,,4726,,414
202207,,,4182,,98
202208,36337,,2863,,172
202209,,,2915,,216
202210,,,1476,,217
202211,,,2020,,414
202212,27817,,3583,,769
202301,23646,0,3254,1400,58
202302,51342,0,6458,1200,24
202303,64972,80,9528,1700,116
202304,43000,0,10100,2200,99
202305,37401,0,11300,1700,235
202306,34599,0,12600,2400,429
202307,30030,20,10600,2000,349
202308,30493,0,18900,2600,342
202309,30200,160,24600,2900,145
202310,28263,80,23300,3100,259
202311,29000,50,15200,4000,555
202312,23673,0,6140,5200,1011
202401,24007,20,6370,3508,92
202402,14883,0,9592,1999,22
202403,40594,30,29300,5039,240
202404,33810,10,26400,4363,216
202405,42404,50,20900,4744,402
202406,24000,90,16200,6566,349
202407,22100,30,17900,5927,647
202408,21700,30,12300,5688,584
202409,26475,40,9425,7569,288
202410,28020,130,8880,7657,514
202411,35700,140,11400,9469,492
202412,44946,120,9554,14500,582
202501,19024,0,7676,7100,34
202502,22429,90,17700,7991,94
202503,35500,90,21600,14200,708
202504,36070,134,17100,15600,93
202505,33997,130,14000,14900,77
202506,37700,100,13500,17600,300
202507,33800,86,14000,16300,236
202508,32300,76,16700,17500,162
202509,35900,565,23400,23500,78
202510,28900,152,21100,19700,221
202511,29400,119,19400,27200,592
202512,26200,284,12500,40800,4202
202601,21300,147,11000,15900,33
202602,12292,70,8673,7363,2
202603,35200,394,32000,19992.107340,14
202604,34000,331,30600,27600,13
202605,30700,371,13900,30300,184
202606,34400,144,11800,37000,288
202607,24600,,5000,26100,
