"YYYYMM","Diesel","Petrol","Plugin hybrid","Battery electric","Others"
201403,663,12,0,0,2
201406,661,5,0,0,6
201409,578,10,0,0,2
201412,614,6,0,0,1
201503,580,10,0,0,0
201506,765,5,0,0,1
201509,657,6,0,1,1
201512,677,3,0,0,1
201603,761,15,0,0,12
201606,877,10,0,0,5
201609,798,7,0,0,5
201612,828,11,0,0,1
201703,906,3,0,0,6
201706,940,5,0,0,12
201709,748,2,0,0,2
201712,844,4,0,0,1
201803,958,16,0,0,5
201806,1064,7,0,0,3
201809,819,8,2,0,5
201812,966,29,0,0,16
201903,949,30,0,0,10
201906,1364,42,1,0,18
201909,659,42,0,0,18
201912,843,34,0,0,10
202003,924,45,0,0,19
202006,754,20,0,1,8
202009,664,31,0,2,15
202012,898,35,0,2,12
202103,884,49,0,0,28
202106,879,39,0,0,21
202109,749,39,0,1,17
202112,798,14,0,1,17
202203,810,27,0,7,16
202206,797,31,0,3,16
202209,708,20,0,1,20
202212,829,30,0,4,22
202303,986,36,2,2,6
202306,1005,34,2,14,26
202309,989,15,0,16,20
202312,748,15,1,6,26
202403,931,21,0,10,29
202406,918,34,1,12,26
202409,628,16,0,9,36
202412,683,2,0,32,56
202503,695,9,0,17,36
202506,700,2,0,18,41
202509,638,9,0,22,41
202512,629,1,0,33,38
202603,724,2,0,14,45
202606,455,4,0,12,13
