"YYYYMM","Diesel","Hybrid","LNG","Battery electric","Hydrogen"
201903,,,22600,,
201906,,,63100,,
201909,,,6200,,
201912,,,24100,,
202003,,,26200,,10
202006,,,53100,,0
202009,,,38000,,3
202012,,,25800,,6
202103,,,23300,,77
202106,,,21100,,151
202109,,,8200,,165
202112,,,5500,,367
202203,,,9181,,97
202206,,,11088,,455
202209,,,9960,,486
202212,,,7079,,1400
202303,139960,80,19240,4300,198
202306,115000,0,34000,6300,763
202309,90723,180,54100,7500,836
202312,80936,130,44640,12300,1825
202403,79484,50,45262,10546,354
202406,100214,150,63500,15673,967
202409,70275,100,39625,19184,1519
202412,108666,390,29834,31626,1588
202503,76953,180,46976,29291,836
202506,107767,364,44600,48100,470
202509,102000,727,54100,57300,476
202512,84500,555,53000,87700,5015
202603,68792,611,51673,43255.107340,49
202606,99100,846,56300,94900,485
202609,24600,,5000,26100,
