"YYYYMM","Diesel","Non-plugin hybrid","Plugin hybrid","Gas","Battery electric","Others"
2021,304771,881,314,3840,13251,0
2022,264065,960,83,3020,18374,0
2023,307131,791,34,3072,22089,2
2024,328004,795,282,2539,17528,1
2025,287124,1122,6195,2021,28201,4
2026,152852,645,4416,853,21432,7
