"YYYYMM","Diesel","Non-plugin hybrid","Plugin hybrid","Battery electric","Others"
201801,4227,0,0,0,1504
201802,4321,0,0,0,1350
201803,4450,0,0,0,1440
201804,4084,0,0,0,1396
201805,4557,0,0,0,1697
201806,4265,0,0,0,1464
201807,4499,0,0,0,1676
201808,4713,0,0,0,1633
201809,4031,0,0,0,1342
201810,4762,0,0,0,1860
201811,4632,0,0,0,1746
201812,3646,0,0,0,1110
201901,4630,0,0,0,1654
201902,3930,0,0,0,1251
201903,4262,0,0,0,1352
201904,4080,0,0,0,1427
201905,4611,0,0,0,1486
201906,3933,0,0,0,1269
201907,4818,0,0,0,1622
201908,4790,0,0,0,1685
201909,4112,0,0,0,1336
201910,4588,0,0,0,1552
201911,4212,0,0,0,1398
201912,3546,0,0,0,940
202001,4362,0,0,0,1303
202002,3886,0,0,0,1122
202003,4462,0,0,0,1229
202004,3327,0,0,0,1045
202005,3292,0,0,0,1039
202006,3552,0,0,0,917
202007,4091,0,0,0,1162
202008,5313,0,0,0,1196
202009,4104,0,0,0,1050
202010,10302,0,0,0,1265
202011,5351,0,0,0,1187
202012,4093,0,0,0,1071
202101,4663,0,0,0,1271
202102,4469,0,0,1,1270
202103,5085,0,0,0,1448
202104,4623,0,0,0,1362
202105,5181,0,0,0,1335
202106,5158,0,0,0,1312
202107,4813,0,0,0,1435
202108,4217,0,0,0,1321
202109,4977,0,0,0,1268
202110,4799,0,0,0,1516
202111,5043,0,0,0,1469
202112,4602,0,0,1,1234
202201,5009,0,0,0,1487
202202,4817,0,0,0,1153
202203,5523,0,0,0,1566
202204,4770,0,0,4,1332
202205,5188,0,0,1,1498
202206,5025,0,0,10,1371
202207,4649,0,0,3,1396
202208,5558,0,0,0,1714
202209,4737,0,0,2,1394
202210,4742,0,0,3,1449
202211,4832,0,0,0,1597
202212,4107,0,0,1,1286
202301,4755,0,0,4,1451
202302,4643,0,0,1,1311
202303,4887,0,0,39,1436
202304,4065,0,0,9,1325
202305,5032,0,0,28,1618
202306,4635,0,0,107,1592
202307,4700,0,0,17,1516
202308,4671,0,0,19,1427
202309,4477,0,0,20,1489
202310,4867,0,0,10,1554
202311,4631,0,0,4,1392
202312,3952,0,0,18,1257
202401,3756,0,0,7,1083
202402,4012,0,0,58,1144
202403,3766,0,0,56,1157
202404,3647,0,0,10,1095
202405,4175,0,0,25,1219
202406,3348,0,0,56,1269
202407,4063,0,0,50,1276
202408,3792,0,0,43,1128
202409,3497,0,0,55,986
202410,3857,0,0,9,1195
202411,3482,0,0,181,1054
202412,3340,0,0,30,1082
202501,3190,0,0,17,1060
202502,2966,0,0,32,916
202503,3445,0,0,10,1081
202504,1672,0,0,29,670
202505,1488,0,0,21,755
202506,1379,0,0,5,483
202507,1651,0,0,138,589
202508,1406,0,0,12,646
202509,1673,0,0,37,533
202510,4182,0,0,26,1584
202511,1444,0,0,47,544
202512,1395,0,0,37,614
202601,1523,0,0,70,571
202602,1345,0,0,25,538
202603,1776,0,0,13,628
202604,1402,0,0,18,613
202605,1331,0,0,48,559
202606,1436,0,0,18,789
202607,1568,0,0,48,639
