"YYYYMM","Diesel","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric","Others"
201606,3065,21,1,0,2,1
201612,3710,20,0,0,1,2
201706,3962,15,0,0,2,1
201712,4361,18,2,0,4,1
201806,4201,14,2,0,10,2
201812,4580,16,10,0,42,2
201906,4102,13,8,0,13,0
201912,4166,18,12,0,35,0
202006,2928,13,12,0,8,0
202012,3789,12,20,0,32,0
202106,4020,14,15,1,42,0
202112,4686,19,11,1,74,1
202206,4512,33,13,0,60,0
202212,5053,43,8,0,83,3
202306,4427,45,19,0,55,0
202312,5042,27,29,0,84,1
202406,4472,42,31,0,172,0
202412,4240,21,46,0,67,1
202506,2880,9,58,0,120,2
202512,3727,2,50,4,189,0
202606,2855,5,40,96,196,0
202612,992,0,7,37,37,1
