"YYYYMM","Diesel","Plugin hybrid","Battery electric","Hydrogen","Others"
2018,18338,4,29,0,217
2019,18228,4,26,5,291
2020,13190,3,30,4,337
2021,15423,10,66,8,516
2022,17436,9,103,14,257
2023,18418,25,409,7,78
2024,21085,21,571,16,285
2025,12970,8,996,0,227
2026,10056,6,974.907694,2,92
