"YYYYMM","Diesel","Petrol","Plugin hybrid","Battery electric","Others"
201401,228,2,0,0,0
201402,221,3,0,0,2
201403,214,7,0,0,0
201404,192,1,0,0,0
201405,250,1,0,0,4
201406,219,3,0,0,2
201407,168,2,0,0,0
201408,180,2,0,0,2
201409,230,6,0,0,0
201410,249,2,0,0,1
201411,155,2,0,0,0
201412,210,2,0,0,0
201501,204,2,0,0,0
201502,178,4,0,0,0
201503,198,4,0,0,0
201504,247,2,0,0,0
201505,244,1,0,0,1
201506,274,2,0,0,0
201507,200,2,0,1,1
201508,232,2,0,0,0
201509,225,2,0,0,0
201510,261,1,0,0,1
201511,186,1,0,0,0
201512,230,1,0,0,0
201601,281,2,0,0,2
201602,241,5,0,0,4
201603,239,8,0,0,6
201604,268,8,0,0,2
201605,331,0,0,0,3
201606,278,2,0,0,0
201607,263,1,0,0,3
201608,261,5,0,0,1
201609,274,1,0,0,1
201610,302,2,0,0,0
201611,279,7,0,0,1
201612,247,2,0,0,0
201701,353,1,0,0,1
201702,247,0,0,0,1
201703,306,2,0,0,4
201704,273,0,0,0,2
201705,323,2,0,0,8
201706,344,3,0,0,2
201707,218,0,0,0,0
201708,273,2,0,0,1
201709,257,0,0,0,1
201710,283,1,0,0,0
201711,292,1,0,0,1
201712,269,2,0,0,0
201801,404,5,0,0,4
201802,236,3,0,0,0
201803,318,8,0,0,1
201804,324,4,0,0,2
201805,383,0,0,0,0
201806,357,3,0,0,1
201807,241,1,1,0,0
201808,271,5,0,0,3
201809,307,2,1,0,2
201810,345,11,0,0,6
201811,316,11,0,0,2
201812,305,7,0,0,8
201901,352,7,0,0,0
201902,304,10,0,0,6
201903,293,13,0,0,4
201904,336,19,0,0,1
201905,407,11,0,0,9
201906,621,12,1,0,8
201907,168,8,0,0,3
201908,218,24,0,0,5
201909,273,10,0,0,10
201910,352,14,0,0,4
201911,276,10,0,0,2
201912,215,10,0,0,4
202001,342,13,0,0,10
202002,290,14,0,0,5
202003,292,18,0,0,4
202004,278,6,0,0,3
202005,248,7,0,1,1
202006,228,7,0,0,4
202007,180,12,0,2,0
202008,216,10,0,0,6
202009,268,9,0,0,9
202010,320,15,0,0,2
202011,282,10,0,0,2
202012,296,10,0,2,8
202101,325,12,0,0,8
202102,233,10,0,0,11
202103,326,27,0,0,9
202104,274,10,0,0,11
202105,284,13,0,0,5
202106,321,16,0,0,5
202107,222,13,0,0,8
202108,284,10,0,1,3
202109,243,16,0,0,6
202110,274,8,0,0,2
202111,267,2,0,1,5
202112,257,4,0,0,10
202201,349,13,0,3,4
202202,217,9,0,1,4
202203,244,5,0,3,8
202204,214,13,0,0,5
202205,292,6,0,3,7
202206,291,12,0,0,4
202207,196,4,0,0,2
202208,232,5,0,0,8
202209,280,11,0,1,10
202210,298,5,0,1,6
202211,266,15,0,1,8
202212,265,10,0,2,8
202301,374,18,1,0,2
202302,292,5,0,0,2
202303,320,13,1,2,2
202304,289,11,1,4,8
202305,338,9,1,4,9
202306,378,14,0,6,9
202307,252,3,0,3,4
202308,535,5,0,7,10
202309,202,7,0,6,6
202310,271,9,0,1,4
202311,248,4,0,1,10
202312,229,2,1,4,12
202401,347,8,0,4,7
202402,283,7,0,4,9
202403,301,6,0,2,13
202404,313,12,1,1,9
202405,304,8,0,4,11
202406,301,14,0,7,6
202407,222,15,0,1,9
202408,196,0,0,3,9
202409,210,1,0,5,18
202410,242,1,0,6,22
202411,274,1,0,10,19
202412,167,0,0,16,15
202501,251,1,0,4,16
202502,218,3,0,4,9
202503,226,5,0,9,11
202504,217,2,0,4,12
202505,246,0,0,6,17
202506,237,0,0,8,12
202507,195,2,0,5,16
202508,232,3,0,8,11
202509,211,4,0,9,14
202510,223,0,0,8,16
202511,181,0,0,4,15
202512,225,1,0,21,7
202601,270,0,0,13,16
202602,190,1,0,0,16
202603,264,1,0,1,13
202604,243,1,0,5,8
202605,212,3,0,7,5
