"YYYYMM","Diesel","Petrol","Battery electric"
202306,1240,16,23
202312,1428,17,22
202406,1140,11,21
202412,1639,23,13
202506,1371,16,30
202512,1441,16,24
202606,1514,0,61
202612,579,0,33
