"YYYYMM","Diesel","Hybrid","LNG","Battery electric","Hydrogen"
201906,,,85700,,
201912,,,30300,,
202006,,,79300,,10
202012,,,63800,,9
202106,,,44400,,228
202112,,,13700,,532
202206,,,20269,,552
202212,,,17039,,1886
202306,254960,80,53240,10600,961
202312,171659,310,98740,19800,2661
202406,179698,200,108762,26219,1321
202412,178941,490,69459,50810,3107
202506,184720,544,91576,77391,1306
202512,186500,1282,107100,145000,5491
202606,167892,1457,107973,138155.107340,534
202612,24600,,5000,26100,
