"YYYYMM","Diesel","Non-plugin hybrid","Plugin hybrid","Battery electric","Others"
2018,52187,0,0,0,18218
2019,51512,0,0,0,16972
2020,56135,0,0,0,13586
2021,57630,0,0,2,16241
2022,58957,0,0,24,17243
2023,55315,0,0,276,17368
2024,44735,0,0,580,13688
2025,25891,0,0,411,9475
2026,10381,0,0,240,4337
