"YYYYMM","Diesel","Petrol","Plugin hybrid","Battery electric","Others"
2014,4562,131,0,0,1
2015,4691,89,0,1,5
2016,5444,93,0,0,5
2017,6035,72,0,0,17
2018,6292,147,2,1,29
2019,6209,268,1,0,50
2020,5425,266,0,5,49
2021,5113,260,0,2,92
2022,4494,178,0,16,65
2023,4851,170,5,40,75
2024,4097,151,2,64,111
2025,3794,94,1,99,181
2026,2500,68,4,58,111
