"YYYYMM","Diesel","Petrol","Plugin hybrid","Battery electric","Others"
201403,1195,35,0,0,0
201406,1262,30,0,0,0
201409,1020,34,0,0,0
201412,1085,32,0,0,1
201503,1081,22,0,0,0
201506,1302,24,0,0,2
201509,1113,29,0,1,0
201512,1195,14,0,0,3
201603,1248,24,0,0,1
201606,1476,21,0,0,0
201609,1310,26,0,0,3
201612,1410,22,0,0,1
201703,1476,15,0,0,3
201706,1632,12,0,0,5
201709,1396,22,0,0,3
201712,1531,23,0,0,6
201803,1530,29,0,1,7
201806,1745,33,0,0,4
201809,1408,30,2,0,6
201812,1609,55,0,0,12
201903,1518,50,0,0,9
201906,2023,69,1,0,17
201909,1229,78,0,0,12
201912,1439,71,0,0,12
202003,1551,75,0,0,15
202006,1259,49,0,1,10
202009,1201,66,0,2,10
202012,1414,76,0,2,14
202103,1289,83,0,0,33
202106,1371,77,0,0,22
202109,1222,73,0,1,20
202112,1231,27,0,1,17
202203,1150,41,0,7,12
202206,1154,50,0,4,15
202209,1051,41,0,1,18
202212,1139,46,0,4,20
202303,1272,47,2,2,8
202306,1300,50,2,15,22
202309,1273,41,0,17,18
202312,1006,32,1,6,27
202403,1147,39,0,10,24
202406,1165,57,2,12,22
202409,848,35,0,10,24
202412,937,20,0,32,41
202503,976,28,0,20,42
202506,1024,25,0,19,50
202509,889,21,0,25,43
202512,905,20,1,35,46
202603,1001,19,0,17,47
202606,978,31,1,26,40
202609,521,18,3,15,24
