"YYYYMM","Diesel","Non-plugin hybrid","Plugin hybrid","Battery electric","Others"
201806,25904,0,0,0,8851
201812,26283,0,0,0,9367
201906,25446,0,0,0,8439
201912,26066,0,0,0,8533
202006,22881,0,0,0,6655
202012,33254,0,0,0,6931
202106,29179,0,0,1,7998
202112,28451,0,0,1,8243
202206,30332,0,0,15,8407
202212,28625,0,0,9,8836
202306,28017,0,0,188,8733
202312,27298,0,0,88,8635
202406,22704,0,0,212,6967
202412,22031,0,0,368,6721
202506,14140,0,0,114,4965
202512,11751,0,0,297,4510
202606,8813,0,0,192,3698
202612,1568,0,0,48,639
